company_id,company_name,nse_code,sector,county_hq,fy_year,revenue_ksh_millions,fleet_size_vehicles,scope1_tco2e,s3_cat6_tco2e,s3_cat7_tco2e,total_tco2e,fy23_total_tco2e,yoy_change_pct,intensity_tco2e_per_ksh_m,uncertainty_pct_95ci,ci_low_tco2e,ci_high_tco2e,defra_ef_version,ipcc_gwp_version,ketraco_grid_ef,kenya_road_adj,tier_scope1,tier_s3c6,tier_s3c7,nse_compliant,xbrl_taxonomy,gri_305_aligned,consent_federated
NSE-049,Stone-Abbott,IYF,Real Estate,Nyeri,2024,16173.7,106,2480.96,959.88,506.15,3946.99,3726.65,5.91,0.244,6.73,3681.36,4212.62,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-008,Knight and Sons,UXG,Healthcare,Meru,2024,24638.29,189,5396.53,1822.06,1125.72,8344.31,9219.38,-9.49,0.3387,7.32,7733.51,8955.11,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-042,Wallace-Wright,LSC,Real Estate,Meru,2024,24906.65,51,12028.44,4538.34,2917.81,19484.59,18939.99,2.88,0.7823,3.26,18849.39,20119.79,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-031,Wilson Group,ZYY,Construction,Meru,2024,50334.21,115,14986.56,3490.14,1712.48,20189.18,20784.83,-2.87,0.4011,4.94,19191.83,21186.53,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-055,O'Sullivan Gough and Kelly,KBD,Real Estate,Nakuru,2024,23674.81,155,5137.82,963.36,756.17,6857.35,6396.37,7.21,0.2896,5.6,6473.34,7241.36,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-020,Fraser Inc,DWE,Telecommunications,Kisumu,2024,63725.02,54,11568.15,3821.81,3135.59,18525.55,17833.18,3.88,0.2907,4.14,17758.59,19292.51,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-045,Ali PLC,NPT,Manufacturing,Nairobi,2024,50054.37,97,13794.37,3234.87,3561.53,20590.77,21799.14,-5.54,0.4114,4.6,19643.59,21537.95,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-043,Cox-Dawson,GQA,Telecommunications,Kisumu,2024,63977.05,176,5575.81,1270.31,820.64,7666.76,7458.77,2.79,0.1198,5.74,7226.69,8106.83,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-032,Webster-Byrne,MGG,Real Estate,Nairobi,2024,31285.52,132,4230.26,1177.05,1006.13,6413.44,7159.86,-10.43,0.205,3.74,6173.58,6653.3,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-047,Taylor-Harrison,XMR,Construction,Kisumu,2024,56281.98,148,7289.27,2713.31,920.35,10922.93,10443.51,4.59,0.1941,3.61,10528.61,11317.25,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-014,James McKenzie and Sutton,CHB,Telecommunications,Kisii,2024,66282.07,103,7497.41,3212.05,1963.37,12672.83,13640.94,-7.1,0.1912,3.65,12210.27,13135.39,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-054,Rowe PLC,BPF,Energy & Petroleum,Eldoret,2024,6527.8,111,14366.72,5683.15,2677.02,22726.89,25524.66,-10.96,3.4816,4.73,21651.91,23801.87,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-004,Lane Simmons and Robinson,YVJ,Agriculture,Meru,2024,50294.07,69,14093.46,2825.17,2464.28,19382.91,17831.94,8.7,0.3854,7.73,17884.61,20881.21,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-018,Robinson Skinner and James,LYN,Agriculture,Mombasa,2024,47764.21,180,13068.68,4229.32,3487.69,20785.69,22511.74,-7.67,0.4352,7.82,19160.25,22411.13,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-034,Jennings Ross and Fox,RGD,Agriculture,Mombasa,2024,11097.62,184,13054.84,3938.67,2420.71,19414.22,17963.59,8.08,1.7494,5.37,18371.68,20456.76,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-009,O'Brien Singh and Peacock,UXN,Real Estate,Machakos,2024,17826.81,107,11992.24,5105.76,3509.45,20607.45,20864.69,-1.23,1.156,6.68,19230.87,21984.03,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-048,Roberts-Roberts,FXQ,Retail & FMCG,Nakuru,2024,19325.57,181,2799.82,508.3,357.08,3665.2,3636.54,0.79,0.1897,4.01,3518.23,3812.17,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-007,Knight-Law,UOK,Telecommunications,Eldoret,2024,16124.19,32,1178.59,526.89,144.52,1850.0,1858.12,-0.44,0.1147,5.08,1756.02,1943.98,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-067,Godfrey Inc,TTD,Insurance,Nyeri,2024,38000.11,122,7669.21,2620.58,1760.06,12049.85,11762.99,2.44,0.3171,5.58,11377.47,12722.23,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-066,Green Moore and Carr,CZN,Real Estate,Kisumu,2024,31705.17,23,892.95,191.96,122.2,1207.11,1217.73,-0.87,0.0381,5.52,1140.48,1273.74,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-016,Cunningham-Nolan,PSD,Real Estate,Nakuru,2024,48054.18,188,1678.78,351.61,189.81,2220.2,2080.34,6.72,0.0462,7.49,2053.91,2386.49,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-028,Thompson PLC,DMY,Manufacturing,Kisii,2024,52281.7,182,13843.96,5706.23,3297.5,22847.69,21580.54,5.87,0.437,4.33,21858.39,23836.99,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-027,Morris-Johnston,YWJ,Healthcare,Kisumu,2024,20225.17,76,2238.08,593.96,270.52,3102.56,3310.99,-6.3,0.1534,3.77,2985.59,3219.53,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-025,Wright-Palmer,PAN,Banking & Finance,Kisii,2024,21364.41,84,13865.09,2689.36,3443.08,19997.53,21332.53,-6.26,0.936,6.11,18775.68,21219.38,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-051,Payne Murray and Morgan,OIO,Telecommunications,Machakos,2024,44225.42,35,7347.75,1966.14,1416.95,10730.84,11573.14,-7.28,0.2426,7.24,9953.93,11507.75,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-012,Greenwood Turner and Edwards,LRZ,Manufacturing,Kisii,2024,8185.94,151,10608.0,3856.07,2014.73,16478.8,18806.26,-12.38,2.0131,5.31,15603.78,17353.82,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-033,Turner-Thomas,XVZ,Energy & Petroleum,Meru,2024,51469.22,181,841.03,139.11,99.3,1079.44,1225.4,-11.91,0.021,6.22,1012.3,1146.58,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-064,Armstrong-Hurst,AMT,Manufacturing,Nakuru,2024,37700.29,134,1960.67,599.06,555.49,3115.22,3314.29,-6.01,0.0826,7.19,2891.24,3339.2,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-050,Jones Wood and Robinson,ACQ,Energy & Petroleum,Meru,2024,24761.23,122,1742.19,490.6,277.28,2510.07,2605.74,-3.67,0.1014,3.04,2433.76,2586.38,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-038,Hussain Campbell and Davis,ZEG,Telecommunications,Nairobi,2024,47177.24,10,2384.32,1002.93,706.31,4093.56,4388.03,-6.71,0.0868,3.29,3958.88,4228.24,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-030,Skinner Inc,KOT,Energy & Petroleum,Eldoret,2024,14952.55,19,12026.28,4693.06,3275.14,19994.48,20153.92,-0.79,1.3372,4.18,19158.71,20830.25,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-044,Griffiths Richards and Marshall,XRD,Construction,Kisumu,2024,2196.27,142,8529.14,2902.24,1437.94,12869.32,12495.71,2.99,5.8596,4.57,12281.19,13457.45,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-056,Thomas-Wood,DCC,Construction,Kisumu,2024,30706.59,61,1861.37,622.37,336.45,2820.19,2883.37,-2.19,0.0918,6.24,2644.21,2996.17,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-002,Foster and Sons,CXM,Insurance,Mombasa,2024,33118.89,134,13688.16,3324.15,1720.16,18732.47,19620.37,-4.53,0.5656,6.38,17537.34,19927.6,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-022,Nelson Jones and Williams,JIW,Energy & Petroleum,Nakuru,2024,35924.31,60,7938.38,1351.44,1558.94,10848.76,10415.66,4.16,0.302,7.09,10079.58,11617.94,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-003,Murray LLC,PHO,Retail & FMCG,Kisumu,2024,72494.25,113,6257.99,2127.71,1705.14,10090.84,9116.64,10.69,0.1392,4.74,9612.53,10569.15,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-057,Poole-Walker,ZDT,Manufacturing,Machakos,2024,70198.05,42,7872.21,1488.17,1559.18,10919.56,11419.48,-4.38,0.1556,3.57,10529.73,11309.39,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
