commute_record_id,company_name,nse_code,sector,employee_id,county_residence,commute_mode,one_way_km,working_days_pa,annual_commute_km,ef_kgco2e_per_km,emission_kgco2e,emission_tco2e,scope,category,data_source,survey_year,anomaly_flag,fy_year
CMT-002674,Griffiths Group,VTU,Retail & FMCG,EMP-VTU-0034,Nyeri,taxi_cab,11.1,182,4040.4,0.17,686.868,0.686868,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002012,Poole Ltd,KYZ,Telecommunications,EMP-KYZ-0032,Kisii,company_bus,27.0,228,12312.0,0.029,357.048,0.357048,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003740,Ali Group,CZG,Healthcare,EMP-CZG-0020,Nairobi,private_car,16.3,219,7139.4,0.17,1213.698,1.213698,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001784,Harding Davis and Booth,BJQ,Agriculture,EMP-BJQ-0044,Mombasa,private_car,19.3,229,8839.4,0.17,1502.698,1.502698,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003271,Gibbons Inc,FCZ,Agriculture,EMP-FCZ-0031,Nyeri,private_car,26.1,201,10492.2,0.17,1783.674,1.783674,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003900,Crawford-Rogers,WON,Retail & FMCG,EMP-WON-0060,Nakuru,private_car,18.4,206,7580.8,0.17,1288.736,1.288736,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003166,Evans-Ford,YBV,Agriculture,EMP-YBV-0046,Kisii,taxi_cab,15.1,195,5889.0,0.17,1001.13,1.00113,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001362,Fletcher-Harper,QUZ,Real Estate,EMP-QUZ-0042,Meru,matatu_14seater,19.4,207,8031.6,0.089,714.812,0.714812,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001175,Middleton Johnson and Kelly,SMP,Insurance,EMP-SMP-0035,Kisii,walk_or_cycle,1.8,184,662.4,0.0,0.0,0.0,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003432,Hunt LLC,XQI,Agriculture,EMP-XQI-0012,Nyeri,matatu_14seater,13.0,230,5980.0,0.089,532.22,0.53222,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001193,Middleton Johnson and Kelly,SMP,Insurance,EMP-SMP-0053,Nakuru,matatu_14seater,13.8,206,5685.6,0.089,506.018,0.506018,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003954,Miller Scott and Moran,RAO,Real Estate,EMP-RAO-0054,Eldoret,boda_boda,13.0,181,4706.0,0.113,531.778,0.531778,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000271,Murphy-Barrett,QVK,Insurance,EMP-QVK-0031,Nyeri,private_car,32.2,233,15005.2,0.17,2550.884,2.550884,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001979,Stokes-Thomas,OYZ,Real Estate,EMP-OYZ-0059,Machakos,matatu_14seater,18.2,239,8699.6,0.089,774.264,0.774264,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000577,Crawford Shah and Brown,TDK,Energy & Petroleum,EMP-TDK-0037,Nyeri,boda_boda,16.2,182,5896.8,0.113,666.338,0.666338,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003889,Crawford-Rogers,WON,Retail & FMCG,EMP-WON-0049,Nairobi,taxi_cab,13.9,227,6310.6,0.17,1072.802,1.072802,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002588,Pearce Gilbert and Kennedy,YBK,Healthcare,EMP-YBK-0008,Meru,private_car,16.4,238,7806.4,0.17,1327.088,1.327088,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000167,O'Donnell Davies and Kelly,ODE,Telecommunications,EMP-ODE-0047,Kisii,boda_boda,18.1,196,7095.2,0.113,801.758,0.801758,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002440,Potter-Cooper,KNK,Agriculture,EMP-KNK-0040,Machakos,private_car,24.5,194,9506.0,0.17,1616.02,1.61602,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003690,Mellor-Jones,BCV,Real Estate,EMP-BCV-0030,Nakuru,matatu_14seater,28.5,225,12825.0,0.089,1141.425,1.141425,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001085,Martin Group,CFE,Healthcare,EMP-CFE-0005,Thika,matatu_14seater,27.4,212,11617.6,0.089,1033.966,1.033966,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001899,Dyer-Young,SDJ,Construction,EMP-SDJ-0039,Eldoret,private_car,27.9,238,13280.4,0.17,2257.668,2.257668,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002556,Simpson Fletcher and Johnson,SRF,Agriculture,EMP-SRF-0036,Nakuru,company_bus,45.0,188,16920.0,0.029,490.68,0.49068,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003849,Crawford-Rogers,WON,Retail & FMCG,EMP-WON-0009,Nyeri,matatu_14seater,20.5,216,8856.0,0.089,788.184,0.788184,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002514,Williams Allen and Farrell,ISH,Retail & FMCG,EMP-ISH-0054,Eldoret,private_car,19.6,211,8271.2,0.17,1406.104,1.406104,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001004,Walker Group,FFD,Healthcare,EMP-FFD-0044,Kisumu,private_car,33.8,220,14872.0,0.17,2528.24,2.52824,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003209,Wilkinson Group,QLE,Banking & Finance,EMP-QLE-0029,Nakuru,private_car,30.5,181,11041.0,0.17,1876.97,1.87697,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001534,Williams Sutton and Hewitt,KZL,Healthcare,EMP-KZL-0034,Mombasa,boda_boda,9.0,225,4050.0,0.113,457.65,0.45765,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003122,Evans-Ford,YBV,Agriculture,EMP-YBV-0002,Kisii,matatu_14seater,26.3,215,11309.0,0.089,1006.501,1.006501,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000734,Fletcher Inc,ZMK,Banking & Finance,EMP-ZMK-0014,Kisumu,matatu_14seater,28.5,194,11058.0,0.089,984.162,0.984162,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002373,Cameron-Hussain,WHY,Real Estate,EMP-WHY-0033,Thika,matatu_14seater,22.9,205,9389.0,0.089,835.621,0.835621,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000071,Fuller LLC,SXB,Agriculture,EMP-SXB-0011,Kisumu,taxi_cab,22.9,225,10305.0,0.17,1751.85,1.75185,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001507,Williams Sutton and Hewitt,KZL,Healthcare,EMP-KZL-0007,Nakuru,matatu_14seater,15.5,223,6913.0,0.089,615.257,0.615257,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002260,Moore Chapman and Williams,JCE,Telecommunications,EMP-JCE-0040,Meru,taxi_cab,14.1,193,5442.6,0.17,925.242,0.925242,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000326,Warren PLC,ZTV,Construction,EMP-ZTV-0026,Kisii,boda_boda,8.4,221,3712.8,0.113,419.546,0.419546,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003482,Richards PLC,CCU,Insurance,EMP-CCU-0002,Thika,matatu_14seater,27.5,181,9955.0,0.089,885.995,0.885995,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000206,Johnson Kirk and Stewart,BUW,Energy & Petroleum,EMP-BUW-0026,Eldoret,matatu_14seater,25.3,218,11030.8,0.089,981.741,0.981741,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000015,Hicks Smith and Marsden,QVW,Banking & Finance,EMP-QVW-0015,Thika,boda_boda,10.5,227,4767.0,0.113,538.671,0.538671,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001972,Stokes-Thomas,OYZ,Real Estate,EMP-OYZ-0052,Kisumu,private_car,28.6,213,12183.6,0.17,2071.212,2.071212,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002592,Pearce Gilbert and Kennedy,YBK,Healthcare,EMP-YBK-0012,Meru,matatu_14seater,19.8,231,9147.6,0.089,814.136,0.814136,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000306,Warren PLC,ZTV,Construction,EMP-ZTV-0006,Kisumu,matatu_14seater,15.0,180,5400.0,0.089,480.6,0.4806,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001518,Williams Sutton and Hewitt,KZL,Healthcare,EMP-KZL-0018,Meru,boda_boda,11.2,202,4524.8,0.113,511.302,0.511302,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003802,Williams Cook and Thomas,KKT,Healthcare,EMP-KKT-0022,Meru,boda_boda,12.3,224,5510.4,0.113,622.675,0.622675,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000009,Hicks Smith and Marsden,QVW,Banking & Finance,EMP-QVW-0009,Kisumu,boda_boda,14.3,226,6463.6,0.113,730.387,0.730387,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001558,Williams Sutton and Hewitt,KZL,Healthcare,EMP-KZL-0058,Nyeri,matatu_14seater,11.0,184,4048.0,0.089,360.272,0.360272,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003570,Reynolds Webb and Webb,MPR,Healthcare,EMP-MPR-0030,Nyeri,private_car,28.5,219,12483.0,0.17,2122.11,2.12211,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000840,Freeman Inc,DPQ,Retail & FMCG,EMP-DPQ-0060,Kisii,matatu_14seater,25.7,228,11719.2,0.089,1043.009,1.043009,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002684,Griffiths Group,VTU,Retail & FMCG,EMP-VTU-0044,Eldoret,boda_boda,9.9,223,4415.4,0.113,498.94,0.49894,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001919,Dyer-Young,SDJ,Construction,EMP-SDJ-0059,Meru,boda_boda,10.7,239,5114.6,0.113,577.95,0.57795,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000756,Fletcher Inc,ZMK,Banking & Finance,EMP-ZMK-0036,Kisumu,matatu_14seater,16.0,208,6656.0,0.089,592.384,0.592384,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000858,Bartlett-White,MXD,Retail & FMCG,EMP-MXD-0018,Kisii,private_car,27.7,226,12520.4,0.17,2128.468,2.128468,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000889,Bartlett-White,MXD,Retail & FMCG,EMP-MXD-0049,Eldoret,walk_or_cycle,3.6,214,1540.8,0.0,0.0,0.0,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002985,Welch Smith and Clarke,NNU,Banking & Finance,EMP-NNU-0045,Kisii,walk_or_cycle,2.5,234,1170.0,0.0,0.0,0.0,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001058,Chapman Webster and McCarthy,RTS,Manufacturing,EMP-RTS-0038,Mombasa,taxi_cab,16.8,199,6686.4,0.17,1136.688,1.136688,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003684,Mellor-Jones,BCV,Real Estate,EMP-BCV-0024,Eldoret,matatu_14seater,22.9,212,9709.6,0.089,864.154,0.864154,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000433,Goodwin Ltd,HQX,Manufacturing,EMP-HQX-0013,Kisumu,private_car,18.9,214,8089.2,0.17,1375.164,1.375164,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000367,Wood LLC,WCE,Insurance,EMP-WCE-0007,Nyeri,matatu_14seater,21.7,201,8723.4,0.089,776.383,0.776383,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002283,Miller-Wilkinson,VTD,Manufacturing,EMP-VTD-0003,Machakos,private_car,17.9,184,6587.2,0.17,1119.824,1.119824,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002874,Chamberlain Payne and Webster,XDT,Telecommunications,EMP-XDT-0054,Machakos,private_car,14.2,222,6304.8,0.17,1071.816,1.071816,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002750,Howard PLC,UQK,Real Estate,EMP-UQK-0050,Thika,matatu_14seater,14.0,192,5376.0,0.089,478.464,0.478464,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003615,Goddard-Taylor,OVJ,Retail & FMCG,EMP-OVJ-0015,Meru,private_car,22.5,193,8685.0,0.17,1476.45,1.47645,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000528,Jackson-Watkins,IUI,Healthcare,EMP-IUI-0048,Nairobi,private_car,16.3,200,6520.0,0.17,1108.4,1.1084,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002282,Miller-Wilkinson,VTD,Manufacturing,EMP-VTD-0002,Kisumu,matatu_14seater,24.4,221,10784.8,0.089,959.847,0.959847,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000788,Freeman Inc,DPQ,Retail & FMCG,EMP-DPQ-0008,Thika,matatu_14seater,25.5,193,9843.0,0.089,876.027,0.876027,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001458,Mann Burton and Waters,AMW,Insurance,EMP-AMW-0018,Nakuru,boda_boda,7.9,188,2970.4,0.113,335.655,0.335655,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000097,Fuller LLC,SXB,Agriculture,EMP-SXB-0037,Nyeri,boda_boda,16.2,209,6771.6,0.113,765.191,0.765191,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000185,Johnson Kirk and Stewart,BUW,Energy & Petroleum,EMP-BUW-0005,Nairobi,walk_or_cycle,2.8,199,1114.4,0.0,0.0,0.0,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001043,Chapman Webster and McCarthy,RTS,Manufacturing,EMP-RTS-0023,Thika,company_bus,45.8,181,16579.6,0.029,480.808,0.480808,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003200,Wilkinson Group,QLE,Banking & Finance,EMP-QLE-0020,Nairobi,private_car,31.3,237,14836.2,0.17,2522.154,2.522154,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001222,Hardy-Ford,ZGX,Healthcare,EMP-ZGX-0022,Mombasa,private_car,25.8,231,11919.6,0.17,2026.332,2.026332,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003671,Mellor-Jones,BCV,Real Estate,EMP-BCV-0011,Thika,company_bus,34.8,237,16495.2,0.029,478.361,0.478361,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000150,O'Donnell Davies and Kelly,ODE,Telecommunications,EMP-ODE-0030,Kisii,walk_or_cycle,4.7,220,2068.0,0.0,0.0,0.0,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001611,Hunter LLC,LTR,Construction,EMP-LTR-0051,Eldoret,matatu_14seater,18.9,214,8089.2,0.089,719.939,0.719939,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001939,Stokes-Thomas,OYZ,Real Estate,EMP-OYZ-0019,Kisii,company_bus,23.0,213,9798.0,0.029,284.142,0.284142,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003369,Brown PLC,KQW,Real Estate,EMP-KQW-0009,Nyeri,company_bus,42.3,236,19965.6,0.029,579.002,0.579002,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003354,Kennedy Dale and Wilson,WGW,Healthcare,EMP-WGW-0054,Eldoret,private_car,24.3,213,10351.8,0.17,1759.806,1.759806,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001337,Fletcher-Harper,QUZ,Real Estate,EMP-QUZ-0017,Nyeri,private_car,26.4,182,9609.6,0.17,1633.632,1.633632,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
