gps_record_id,fuel_record_id,company_name,nse_code,vehicle_id,vehicle_class,transaction_date,gps_km_logged,fuel_declared_l,expected_fuel_l,delta_fuel_l,cross_validation,match_confidence,anomaly_flag,anomaly_type
GPS-001526,FC-001526,Lawrence-Bibi,BQF,BQF-TRK-003,diesel_truck,2024-07-01,55.0,17.77,18.17,-0.4,pass,0.9788,0,clean
GPS-001638,FC-001638,Alexander Jenkins and Roberts,UUE,UUE-SUV-016,petrol_suv,2024-03-25,220.0,33.64,32.45,1.19,pass,0.9702,0,clean
GPS-002438,FC-002438,Farrell Smith and Foster,NND,NND-SUV-027,petrol_suv,2024-05-31,326.3,49.16,48.13,1.03,pass,0.9861,0,clean
GPS-001098,FC-001098,Dobson Ltd,PDT,PDT-CAR-005,petrol_saloon,2024-08-27,117.7,11.22,11.39,-0.17,pass,0.9327,0,clean
GPS-001245,FC-001245,Evans PLC,WYC,WYC-MTR-009,petrol_bike,2024-10-13,268.5,12.89,12.67,0.22,pass,0.945,0,clean
GPS-001126,FC-001126,Coates Chadwick and Williams,XPM,XPM-CAR-008,petrol_saloon,2024-03-22,202.2,19.95,19.56,0.39,pass,0.9783,0,clean
GPS-001256,FC-001256,Evans PLC,WYC,WYC-CAR-002,petrol_saloon,2024-10-18,221.0,21.34,21.38,-0.04,pass,0.9773,0,clean
GPS-000252,FC-000252,Carr-Matthews,CCW,CCW-VAN-020,diesel_van,2024-08-26,319.9,38.14,39.64,-1.5,pass,0.9818,0,clean
GPS-000140,FC-000140,Hussain Wilson and Brown,FPV,FPV-4WD-015,petrol_4wd,2024-06-18,236.4,39.61,39.05,0.56,pass,0.9717,0,clean
GPS-000197,FC-000197,Patel LLC,SIE,SIE-SUV-014,petrol_suv,2024-05-29,166.7,24.86,24.59,0.27,pass,0.9529,0,clean
GPS-002310,FC-002310,Hicks Harvey and Lowe,YFS,YFS-CAR-014,petrol_saloon,2024-02-17,57.9,5.72,5.6,0.12,pass,0.9703,0,clean
GPS-002649,FC-002649,Bradley-Smith,DCO,DCO-SUV-011,petrol_suv,2024-06-15,84.8,12.13,12.51,-0.38,pass,0.9894,0,clean
GPS-002968,FC-002968,Powell-Hill,BJY,BJY-CAR-007,petrol_saloon,2024-04-04,192.1,18.07,18.59,-0.52,pass,0.9769,0,clean
GPS-002934,FC-002934,Powell-Hill,BJY,BJY-SUV-022,petrol_suv,2024-07-18,292.0,41.52,43.07,-1.55,pass,0.9709,0,clean
GPS-002895,FC-002895,Smith Cooke and Crawford,AJO,AJO-TRK-006,diesel_truck,2024-10-30,39.0,13.1,12.89,0.21,pass,0.9482,0,clean
GPS-002856,FC-002856,Thompson Ltd,CYR,CYR-CAR-001,petrol_saloon,2024-05-24,71.1,6.71,6.88,-0.17,pass,0.977,0,clean
GPS-000686,FC-000686,Butler Carter and Norton,FMX,FMX-TRK-012,diesel_truck,2024-03-15,383.1,124.45,126.58,-2.13,pass,0.9559,0,clean
GPS-000267,FC-000267,Carr-Matthews,CCW,CCW-4WD-017,petrol_4wd,2024-01-03,239.7,39.39,39.6,-0.21,pass,0.9733,0,clean
GPS-000424,FC-000424,Rose-Newton,WWJ,WWJ-SUV-013,petrol_suv,2024-08-09,355.0,51.6,52.36,-0.76,pass,0.9673,0,clean
GPS-000479,FC-000479,Collins-Dawson,EJR,EJR-CAR-009,petrol_saloon,2024-10-08,135.1,12.72,13.07,-0.35,pass,0.9388,0,clean
GPS-000898,FC-000898,Ahmed and Sons,UKB,UKB-SUV-011,petrol_suv,2024-02-19,131.4,18.74,19.38,-0.64,pass,0.9794,0,clean
GPS-000473,FC-000473,Collins-Dawson,EJR,EJR-CAR-003,petrol_saloon,2024-05-20,106.9,10.3,10.34,-0.04,pass,0.9602,0,clean
GPS-002341,FC-002341,Ali and Sons,KRH,KRH-BUS-004,diesel_bus,2024-05-23,57.3,12.33,12.17,0.16,pass,0.9865,0,clean
GPS-000290,FC-000290,Clarke-Smith,USN,USN-SUV-009,petrol_suv,2024-07-11,362.8,55.37,53.51,1.86,pass,0.9592,0,clean
GPS-000569,FC-000569,Scott-Walker,HYR,HYR-4WD-003,petrol_4wd,2024-06-18,222.6,36.75,36.77,-0.02,pass,0.9509,0,clean
GPS-000582,FC-000582,Scott-Walker,HYR,HYR-4WD-003,petrol_4wd,2024-11-27,114.9,19.41,18.98,0.43,pass,0.9423,0,clean
GPS-000015,FC-000015,Brown Jones and Hughes,AHF,AHF-BUS-007,diesel_bus,2024-02-11,264.7,56.42,56.22,0.2,pass,0.9399,0,clean
GPS-002693,FC-002693,White-Kerr,PSF,PSF-MTR-016,petrol_bike,2024-12-11,50.5,2.39,2.38,0.01,pass,0.9343,0,clean
GPS-000808,FC-000808,Hall PLC,LPJ,LPJ-CAR-018,petrol_saloon,2024-10-27,41.8,4.06,4.04,0.02,pass,0.9561,0,clean
GPS-002651,FC-002651,Bradley-Smith,DCO,DCO-SUV-014,petrol_suv,2024-11-08,272.9,41.07,40.25,0.82,pass,0.9474,0,clean
GPS-002248,FC-002248,Williams Gibson and Ford,DXG,DXG-SUV-013,petrol_suv,2024-06-25,271.4,41.27,40.03,1.24,pass,0.9438,0,clean
GPS-000529,FC-000529,Ross Haynes and Bennett,QNG,QNG-CAR-020,petrol_saloon,2024-06-08,31.9,3.13,3.09,0.04,pass,0.951,0,clean
GPS-000458,FC-000458,Collins-Dawson,EJR,EJR-CAR-002,petrol_saloon,2024-10-14,63.9,6.13,6.18,-0.05,pass,0.9667,0,clean
GPS-000600,FC-000600,Lynch-Patel,VUF,VUF-CAR-015,petrol_saloon,2024-05-23,337.3,32.38,32.64,-0.26,pass,0.9335,0,clean
GPS-000315,FC-000315,Clarke-Smith,USN,USN-TRK-007,diesel_truck,2024-11-03,234.0,78.18,77.31,0.87,pass,0.9853,0,clean
GPS-000185,FC-000185,Patel LLC,SIE,SIE-SUV-016,petrol_suv,2024-08-05,239.0,34.42,35.25,-0.83,pass,0.9792,0,clean
GPS-000965,FC-000965,Robinson Horton and Smith,RNG,RNG-MTR-008,petrol_bike,2024-06-10,93.5,4.49,4.41,0.08,pass,0.9872,0,clean
GPS-000671,FC-000671,Jones Fletcher and Sutton,KBX,KBX-CAR-008,petrol_saloon,2024-04-29,246.4,23.08,23.84,-0.76,pass,0.969,0,clean
GPS-000052,FC-000052,Martin Allen and Brown,CKA,CKA-VAN-008,diesel_van,2024-01-10,190.6,23.58,23.62,-0.04,pass,0.9374,0,clean
GPS-002590,FC-002590,Jones Group,HRY,HRY-4WD-004,petrol_4wd,2024-03-19,176.5,29.58,29.16,0.42,pass,0.9648,0,clean
GPS-001753,FC-001753,Stevens and Sons,BSU,BSU-4WD-003,petrol_4wd,2024-04-21,376.2,62.13,62.15,-0.02,pass,0.9824,0,clean
GPS-001538,FC-001538,Harvey Ltd,BGR,BGR-MTR-018,petrol_bike,2024-09-07,308.5,14.09,14.56,-0.47,pass,0.979,0,clean
GPS-002822,FC-002822,Thomas Long and Mills,ELS,ELS-MTR-013,petrol_bike,2024-05-28,280.5,12.95,13.24,-0.29,pass,0.9659,0,clean
GPS-002646,FC-002646,Bradley-Smith,DCO,DCO-4WD-002,petrol_4wd,2024-08-02,273.6,44.81,45.2,-0.39,pass,0.9774,0,clean
GPS-000433,FC-000433,Rose-Newton,WWJ,WWJ-SUV-010,petrol_suv,2024-04-20,375.9,54.72,55.45,-0.73,pass,0.9378,0,clean
GPS-002189,FC-002189,Andrews-Brown,WBB,WBB-CAR-016,petrol_saloon,2024-01-01,349.6,32.59,33.83,-1.24,pass,0.9825,0,clean
GPS-001012,FC-001012,Berry-Bell,HEA,HEA-VAN-020,diesel_van,2024-12-30,136.6,16.6,16.92,-0.32,pass,0.9323,0,clean
GPS-001952,FC-001952,Adams Shepherd and Wilson,EAK,EAK-VAN-017,diesel_van,2024-08-07,76.3,9.41,9.45,-0.04,pass,0.9505,0,clean
GPS-000332,FC-000332,Bibi-Goddard,OVQ,OVQ-SUV-021,petrol_suv,2024-06-22,183.6,28.02,27.08,0.94,pass,0.9715,0,clean
GPS-001602,FC-001602,Barrett Kent and Lee,DYO,DYO-CAR-015,petrol_saloon,2024-04-10,82.4,7.83,7.97,-0.14,pass,0.938,0,clean
GPS-001746,FC-001746,Stevens and Sons,BSU,BSU-SUV-010,petrol_suv,2024-12-30,63.2,9.01,9.32,-0.31,pass,0.9731,0,clean
GPS-000773,FC-000773,Hall PLC,LPJ,LPJ-CAR-007,petrol_saloon,2024-11-25,284.1,28.38,27.49,0.89,pass,0.987,0,clean
GPS-002163,FC-002163,Andrews-Brown,WBB,WBB-BUS-014,diesel_bus,2024-02-18,250.8,53.64,53.27,0.37,pass,0.9532,0,clean
GPS-002683,FC-002683,White-Kerr,PSF,PSF-TRK-014,diesel_truck,2024-06-17,86.8,27.66,28.68,-1.02,pass,0.9755,0,clean
GPS-002243,FC-002243,Williams Gibson and Ford,DXG,DXG-VAN-011,diesel_van,2024-06-08,191.1,24.33,23.68,0.65,pass,0.9435,0,clean
GPS-000683,FC-000683,Butler Carter and Norton,FMX,FMX-TRK-002,diesel_truck,2024-01-03,256.3,83.17,84.68,-1.51,pass,0.9764,0,clean
GPS-002419,FC-002419,Coates-Andrews,AQO,AQO-TRK-010,diesel_truck,2024-10-15,391.0,125.06,129.19,-4.13,pass,0.943,0,clean
GPS-000333,FC-000333,Bibi-Goddard,OVQ,OVQ-SUV-011,petrol_suv,2024-04-20,280.7,41.0,41.4,-0.4,pass,0.9799,0,clean
GPS-001254,FC-001254,Evans PLC,WYC,WYC-4WD-004,petrol_4wd,2024-06-07,163.8,26.64,27.06,-0.42,pass,0.9822,0,clean
GPS-001207,FC-001207,Schofield Harris and Poole,WVH,WVH-CAR-004,petrol_saloon,2024-10-29,329.4,32.58,31.87,0.71,pass,0.9616,0,clean
GPS-000487,FC-000487,Collins-Dawson,EJR,EJR-CAR-011,petrol_saloon,2024-04-06,51.0,5.04,4.93,0.11,pass,0.9591,0,clean
GPS-001293,FC-001293,Glover Ltd,ZND,ZND-SUV-020,petrol_suv,2024-05-13,316.9,48.13,46.74,1.39,pass,0.9657,0,clean
GPS-002877,FC-002877,Thompson Ltd,CYR,CYR-TRK-007,diesel_truck,2024-10-19,54.9,18.59,18.14,0.45,pass,0.9898,0,clean
GPS-002974,FC-002974,Boyle Inc,FGC,FGC-CAR-005,petrol_saloon,2024-02-19,129.1,12.47,12.49,-0.02,pass,0.9641,0,clean
GPS-002860,FC-002860,Thompson Ltd,CYR,CYR-CAR-004,petrol_saloon,2024-02-13,314.6,30.91,30.44,0.47,pass,0.9448,0,clean
GPS-000818,FC-000818,Akhtar Inc,MTW,MTW-BUS-021,diesel_bus,2024-08-05,397.6,81.76,84.45,-2.69,pass,0.9705,0,clean
GPS-001546,FC-001546,Harvey Ltd,BGR,BGR-SUV-002,petrol_suv,2024-09-25,165.2,23.8,24.37,-0.57,pass,0.965,0,clean
GPS-000762,FC-000762,Hughes-Baker,GGO,GGO-CAR-001,petrol_saloon,2024-06-12,59.7,5.64,5.78,-0.14,pass,0.9595,0,clean
GPS-002674,FC-002674,White-Kerr,PSF,PSF-TRK-014,diesel_truck,2024-12-02,208.5,70.5,68.89,1.61,pass,0.9623,0,clean
GPS-000176,FC-000176,Hussain Wilson and Brown,FPV,FPV-CAR-017,petrol_saloon,2024-05-11,112.0,10.6,10.84,-0.24,pass,0.984,0,clean
GPS-001037,FC-001037,Richards Sykes and Peters,TNC,TNC-TRK-004,diesel_truck,2024-01-14,80.9,26.65,26.73,-0.08,pass,0.9401,0,clean
GPS-000719,FC-000719,Butler Carter and Norton,FMX,FMX-TRK-006,diesel_truck,2024-09-18,350.9,120.19,115.94,4.25,pass,0.9535,0,clean
GPS-001189,FC-001189,Schofield Harris and Poole,WVH,WVH-4WD-009,petrol_4wd,2024-12-04,269.6,43.23,44.54,-1.31,pass,0.9346,0,clean
GPS-000145,FC-000145,Hussain Wilson and Brown,FPV,FPV-CAR-024,petrol_saloon,2024-10-04,355.0,35.33,34.35,0.98,pass,0.9851,0,clean
GPS-002112,FC-002112,Richardson LLC,BIB,BIB-BUS-004,diesel_bus,2024-10-25,63.7,13.16,13.53,-0.37,pass,0.9628,0,clean
GPS-000496,FC-000496,Ross Haynes and Bennett,QNG,QNG-4WD-001,petrol_4wd,2024-12-12,326.0,51.86,53.86,-2.0,pass,0.9764,0,clean
GPS-000875,FC-000875,Ahmed and Sons,UKB,UKB-CAR-005,petrol_saloon,2024-04-28,96.3,9.48,9.32,0.16,pass,0.9397,0,clean
GPS-000692,FC-000692,Butler Carter and Norton,FMX,FMX-TRK-011,diesel_truck,2024-08-27,129.8,42.4,42.89,-0.49,pass,0.9817,0,clean
GPS-001719,FC-001719,Stevens and Sons,BSU,BSU-4WD-003,petrol_4wd,2024-07-16,128.3,21.81,21.2,0.61,pass,0.9387,0,clean
GPS-002759,FC-002759,Greenwood Thompson and Richards,VBI,VBI-CAR-028,petrol_saloon,2024-06-17,111.7,10.98,10.81,0.17,pass,0.9702,0,clean
GPS-000444,FC-000444,Rose-Newton,WWJ,WWJ-SUV-013,petrol_suv,2024-06-22,232.7,33.48,34.32,-0.84,pass,0.9487,0,clean
GPS-002168,FC-002168,Andrews-Brown,WBB,WBB-MTR-004,petrol_bike,2024-05-29,276.4,13.05,13.05,0.0,pass,0.9369,0,clean
GPS-002031,FC-002031,Cunningham and Sons,EHZ,EHZ-MTR-016,petrol_bike,2024-04-15,174.5,8.44,8.24,0.2,pass,0.9382,0,clean
GPS-000257,FC-000257,Carr-Matthews,CCW,CCW-4WD-005,petrol_4wd,2024-04-12,46.9,7.93,7.75,0.18,pass,0.9542,0,clean
GPS-002464,FC-002464,Farrell Smith and Foster,NND,NND-CAR-024,petrol_saloon,2024-09-25,68.0,6.69,6.58,0.11,pass,0.968,0,clean
GPS-000782,FC-000782,Hall PLC,LPJ,LPJ-CAR-004,petrol_saloon,2024-10-06,214.0,20.93,20.71,0.22,pass,0.9604,0,clean
GPS-000528,FC-000528,Ross Haynes and Bennett,QNG,QNG-CAR-024,petrol_saloon,2024-04-01,77.9,7.78,7.54,0.24,pass,0.9896,0,clean
GPS-000001,FC-000001,Brown Jones and Hughes,AHF,AHF-MTR-001,petrol_bike,2024-10-09,189.6,9.28,8.95,0.33,pass,0.9554,0,clean
GPS-001609,FC-001609,Barrett Kent and Lee,DYO,DYO-TRK-006,diesel_truck,2024-09-01,46.6,15.84,15.4,0.44,pass,0.9843,0,clean
GPS-001776,FC-001776,Palmer Carter and Sutton,END,END-4WD-010,petrol_4wd,2024-01-10,331.1,56.6,54.7,1.9,pass,0.9677,0,clean
GPS-000046,FC-000046,Martin Allen and Brown,CKA,CKA-MTR-009,petrol_bike,2024-02-22,35.0,1.63,1.65,-0.02,pass,0.9366,0,clean
GPS-002304,FC-002304,Hicks Harvey and Lowe,YFS,YFS-SUV-026,petrol_suv,2024-04-22,299.9,42.8,44.24,-1.44,pass,0.9337,0,clean
GPS-002196,FC-002196,Andrews-Brown,WBB,WBB-BUS-014,diesel_bus,2024-08-05,211.7,46.04,44.97,1.07,pass,0.9704,0,clean
GPS-001322,FC-001322,Holmes Group,ENP,ENP-SUV-006,petrol_suv,2024-08-21,33.3,5.1,4.91,0.19,pass,0.9459,0,clean
GPS-000195,FC-000195,Patel LLC,SIE,SIE-4WD-003,petrol_4wd,2024-01-09,170.2,28.76,28.12,0.64,pass,0.9735,0,clean
GPS-001552,FC-001552,Harvey Ltd,BGR,BGR-CAR-012,petrol_saloon,2024-07-11,359.1,34.32,34.75,-0.43,pass,0.9522,0,clean
GPS-002145,FC-002145,Dodd-Carroll,XNB,XNB-CAR-010,petrol_saloon,2024-07-02,224.1,21.9,21.68,0.22,pass,0.9385,0,clean
GPS-000679,FC-000679,Butler Carter and Norton,FMX,FMX-TRK-002,diesel_truck,2024-07-03,246.7,82.71,81.51,1.2,pass,0.9826,0,clean
GPS-001576,FC-001576,Barrett Kent and Lee,DYO,DYO-TRK-010,diesel_truck,2024-01-17,268.7,88.68,88.78,-0.1,pass,0.9506,0,clean
GPS-001136,FC-001136,Coates Chadwick and Williams,XPM,XPM-CAR-001,petrol_saloon,2024-08-07,148.1,13.83,14.33,-0.5,pass,0.936,0,clean
GPS-002984,FC-002984,Boyle Inc,FGC,FGC-TRK-002,diesel_truck,2024-01-26,239.3,81.19,79.06,2.13,pass,0.9874,0,clean
GPS-000409,FC-000409,Rose-Newton,WWJ,WWJ-TRK-008,diesel_truck,2024-03-19,91.1,29.54,30.1,-0.56,pass,0.9548,0,clean
GPS-001463,FC-001463,Moore-Barnes,IPF,IPF-4WD-022,petrol_4wd,2024-09-09,118.8,19.61,19.63,-0.02,pass,0.9419,0,clean
GPS-001252,FC-001252,Evans PLC,WYC,WYC-4WD-004,petrol_4wd,2024-07-24,253.4,42.31,41.86,0.45,pass,0.9667,0,clean
GPS-001663,FC-001663,Alexander Jenkins and Roberts,UUE,UUE-CAR-002,petrol_saloon,2024-02-09,277.7,25.84,26.87,-1.03,pass,0.9878,0,clean
GPS-001778,FC-001778,Palmer Carter and Sutton,END,END-CAR-018,petrol_saloon,2024-09-04,289.9,28.03,28.05,-0.02,pass,0.9629,0,clean
GPS-000415,FC-000415,Rose-Newton,WWJ,WWJ-MTR-003,petrol_bike,2024-05-18,339.4,15.77,16.02,-0.25,pass,0.9503,0,clean
GPS-001004,FC-001004,Berry-Bell,HEA,HEA-VAN-013,diesel_van,2024-01-12,301.7,37.32,37.38,-0.06,pass,0.943,0,clean
GPS-002096,FC-002096,Richardson LLC,BIB,BIB-CAR-006,petrol_saloon,2024-04-30,317.7,31.9,30.74,1.16,pass,0.948,0,clean
GPS-001438,FC-001438,Stanley Inc,LND,LND-SUV-008,petrol_suv,2024-03-31,317.5,45.8,46.83,-1.03,pass,0.9796,0,clean
GPS-001890,FC-001890,Pearce Group,BZV,BZV-TRK-020,diesel_truck,2024-02-29,385.6,127.54,127.4,0.14,pass,0.984,0,clean
GPS-000860,FC-000860,Ahmed and Sons,UKB,UKB-4WD-010,petrol_4wd,2024-03-15,30.5,5.21,5.04,0.17,pass,0.9735,0,clean
GPS-002813,FC-002813,Thomas Long and Mills,ELS,ELS-CAR-009,petrol_saloon,2024-04-25,303.7,29.2,29.39,-0.19,pass,0.9329,0,clean
GPS-002988,FC-002988,Boyle Inc,FGC,FGC-SUV-001,petrol_suv,2024-04-15,193.5,29.45,28.54,0.91,pass,0.9745,0,clean
GPS-000175,FC-000175,Hussain Wilson and Brown,FPV,FPV-4WD-016,petrol_4wd,2024-01-29,325.9,54.07,53.84,0.23,pass,0.9843,0,clean
GPS-000882,FC-000882,Ahmed and Sons,UKB,UKB-4WD-002,petrol_4wd,2024-12-14,105.2,16.87,17.38,-0.51,pass,0.971,0,clean
GPS-000193,FC-000193,Patel LLC,SIE,SIE-TRK-013,diesel_truck,2024-10-12,314.4,104.9,103.88,1.02,pass,0.9335,0,clean
GPS-001597,FC-001597,Barrett Kent and Lee,DYO,DYO-CAR-015,petrol_saloon,2024-02-02,153.6,14.76,14.86,-0.1,pass,0.9717,0,clean
GPS-002360,FC-002360,Ali and Sons,KRH,KRH-CAR-007,petrol_saloon,2024-11-15,379.1,38.19,36.68,1.51,pass,0.9831,0,clean
GPS-002324,FC-002324,Hicks Harvey and Lowe,YFS,YFS-VAN-011,diesel_van,2024-01-25,381.7,47.07,47.29,-0.22,pass,0.9856,0,clean
GPS-002015,FC-002015,Walker LLC,KYZ,KYZ-TRK-008,diesel_truck,2024-05-11,134.1,43.27,44.31,-1.04,pass,0.9634,0,clean
GPS-002363,FC-002363,Ali and Sons,KRH,KRH-SUV-012,petrol_suv,2024-06-11,296.3,43.17,43.7,-0.53,pass,0.9544,0,clean
GPS-001790,FC-001790,Palmer Carter and Sutton,END,END-CAR-011,petrol_saloon,2024-02-16,215.2,21.64,20.82,0.82,pass,0.9736,0,clean
GPS-001386,FC-001386,Cook Ltd,TRS,TRS-SUV-010,petrol_suv,2024-05-09,175.5,25.59,25.89,-0.3,pass,0.9835,0,clean
GPS-001317,FC-001317,Holmes Group,ENP,ENP-CAR-008,petrol_saloon,2024-07-26,276.4,26.91,26.74,0.17,pass,0.989,0,clean
GPS-001392,FC-001392,Cook Ltd,TRS,TRS-SUV-014,petrol_suv,2024-05-23,105.2,16.05,15.52,0.53,pass,0.9576,0,clean
GPS-001454,FC-001454,Moore-Barnes,IPF,IPF-MTR-011,petrol_bike,2024-02-20,330.8,15.98,15.61,0.37,pass,0.9629,0,clean
GPS-002914,FC-002914,Smith Cooke and Crawford,AJO,AJO-TRK-007,diesel_truck,2024-10-27,100.5,32.83,33.21,-0.38,pass,0.9528,0,clean
GPS-000326,FC-000326,Bibi-Goddard,OVQ,OVQ-SUV-008,petrol_suv,2024-03-07,113.6,17.13,16.76,0.37,pass,0.9725,0,clean
GPS-001860,FC-001860,Pearce Group,BZV,BZV-CAR-012,petrol_saloon,2024-02-09,253.7,23.66,24.55,-0.89,pass,0.9312,0,clean
GPS-002794,FC-002794,Thomas Long and Mills,ELS,ELS-CAR-014,petrol_saloon,2024-04-24,385.2,36.44,37.27,-0.83,pass,0.9686,0,clean
GPS-000089,FC-000089,Martin Allen and Brown,CKA,CKA-SUV-012,petrol_suv,2024-06-06,204.5,29.35,30.16,-0.81,pass,0.9397,0,clean
