travel_record_id,company_name,nse_code,sector,travel_date,month,quarter,origin_airport,destination_airport,flight_type,cabin_class,passengers,distance_km,ef_kgco2e_per_pkm,rfi_factor,emission_kgco2e,emission_tco2e,scope,category,data_source,cost_ksh,extraction_confidence,anomaly_flag,fy_year
TRV-000784,Cunningham LLC,KJW,Agriculture,2024-05-20,5,2,NBO,ADD,short_haul,economy,3,2269,0.3002,1.9,2043.461,2.043461,Scope 3,Cat 6 — Business travel,SAP travel booking export,54223.77,0.9279,0,2024
TRV-000478,Palmer Thomas and Johnson,CCY,Manufacturing,2024-08-31,8,3,NBO,DXB,long_haul,economy,1,4692,0.3705,1.9,1738.386,1.738386,Scope 3,Cat 6 — Business travel,SAP travel booking export,31100.46,0.9194,0,2024
TRV-000077,Hussain Begum and Graham,RCA,Healthcare,2024-07-31,7,3,NBO,ADD,short_haul,economy,1,2263,0.3002,1.9,679.353,0.679353,Scope 3,Cat 6 — Business travel,SAP travel booking export,10242.13,0.9619,0,2024
TRV-000266,Connor Cameron and Hawkins,PAQ,Energy & Petroleum,2024-01-20,1,1,NBO,LHR,long_haul,business,3,9086,0.8151,1.9,22217.996,22.217996,Scope 3,Cat 6 — Business travel,SAP travel booking export,149686.45,0.9769,0,2024
TRV-000905,Wright PLC,MUO,Manufacturing,2024-09-29,9,3,NBO,DXB,long_haul,economy,2,6678,0.3705,1.9,4948.398,4.948398,Scope 3,Cat 6 — Business travel,SAP travel booking export,92435.79,0.9473,0,2024
TRV-000678,White-Moore,OBE,Healthcare,2024-02-22,2,1,NBO,KIS,short_haul,economy,2,1425,0.3002,1.9,855.57,0.85557,Scope 3,Cat 6 — Business travel,SAP travel booking export,15434.06,0.9783,0,2024
TRV-001033,Jennings Inc,RTO,Real Estate,2024-03-03,3,1,NBO,DXB,long_haul,economy,2,10935,0.3705,1.9,8102.835,8.102835,Scope 3,Cat 6 — Business travel,SAP travel booking export,115396.06,0.9183,0,2024
TRV-000619,Palmer Nelson and Nolan,FEV,Manufacturing,2024-09-25,9,3,NBO,ADD,short_haul,economy,1,2380,0.3002,1.9,714.476,0.714476,Scope 3,Cat 6 — Business travel,SAP travel booking export,10782.6,0.9287,0,2024
TRV-000592,Phillips Inc,FGL,Construction,2024-06-25,6,2,NBO,MBA,short_haul,economy,3,601,0.3002,1.9,541.261,0.541261,Scope 3,Cat 6 — Business travel,SAP travel booking export,11572.26,0.9602,0,2024
TRV-000716,Patel Woodward and Saunders,JXW,Insurance,2024-12-21,12,4,NBO,KIS,short_haul,economy,2,775,0.3002,1.9,465.31,0.46531,Scope 3,Cat 6 — Business travel,SAP travel booking export,7824.32,0.9065,0,2024
TRV-000416,Shah Griffiths and Walker,ROY,Healthcare,2024-08-07,8,3,NBO,CPT,long_haul,economy,1,7586,0.3705,1.9,2810.613,2.810613,Scope 3,Cat 6 — Business travel,SAP travel booking export,57362.56,0.9276,0,2024
TRV-000307,Thomas Smith and Chan,HZJ,Retail & FMCG,2024-09-12,9,3,NBO,KIS,short_haul,economy,1,1600,0.3002,1.9,480.32,0.48032,Scope 3,Cat 6 — Business travel,SAP travel booking export,12490.81,0.9606,0,2024
TRV-000913,Wright PLC,MUO,Manufacturing,2024-10-13,10,4,NBO,CPT,long_haul,economy,2,7051,0.3705,1.9,5224.791,5.224791,Scope 3,Cat 6 — Business travel,SAP travel booking export,151507.65,0.9726,0,2024
TRV-000079,Hussain Begum and Graham,RCA,Healthcare,2024-10-25,10,4,NBO,ELD,short_haul,economy,3,2125,0.3002,1.9,1913.775,1.913775,Scope 3,Cat 6 — Business travel,SAP travel booking export,54196.86,0.9164,0,2024
TRV-001085,Fletcher Ltd,FLB,Insurance,2024-09-12,9,3,NBO,KIS,short_haul,economy,3,1883,0.3002,1.9,1695.83,1.69583,Scope 3,Cat 6 — Business travel,SAP travel booking export,34407.83,0.9655,0,2024
TRV-000637,Bates Noble and Giles,PQR,Banking & Finance,2024-09-01,9,3,NBO,JNB,long_haul,economy,3,10128,0.3705,1.9,11257.272,11.257272,Scope 3,Cat 6 — Business travel,SAP travel booking export,263707.4,0.9675,0,2024
TRV-000772,Alexander-Rogers,PIF,Energy & Petroleum,2024-06-24,6,2,NBO,MBA,short_haul,economy,1,2492,0.3002,1.9,748.098,0.748098,Scope 3,Cat 6 — Business travel,SAP travel booking export,20874.11,0.9389,0,2024
TRV-001040,Jennings Inc,RTO,Real Estate,2024-10-30,10,4,NBO,DXB,long_haul,economy,3,4266,0.3705,1.9,4741.659,4.741659,Scope 3,Cat 6 — Business travel,SAP travel booking export,87441.89,0.9274,0,2024
TRV-000468,Palmer Thomas and Johnson,CCY,Manufacturing,2024-07-19,7,3,NBO,CPT,long_haul,economy,1,11958,0.3705,1.9,4430.439,4.430439,Scope 3,Cat 6 — Business travel,SAP travel booking export,120311.73,0.9674,0,2024
TRV-000487,Black Walker and Williams,TZV,Insurance,2024-01-18,1,1,NBO,JNB,long_haul,economy,2,8767,0.3705,1.9,6496.347,6.496347,Scope 3,Cat 6 — Business travel,SAP travel booking export,160536.69,0.9715,0,2024
TRV-001066,Burton Inc,DLX,Construction,2024-05-07,5,2,NBO,KIS,short_haul,economy,2,438,0.3002,1.9,262.975,0.262975,Scope 3,Cat 6 — Business travel,SAP travel booking export,6553.69,0.9141,0,2024
TRV-000971,Williams LLC,ANQ,Banking & Finance,2024-04-23,4,2,NBO,DAR,short_haul,economy,1,1150,0.3002,1.9,345.23,0.34523,Scope 3,Cat 6 — Business travel,SAP travel booking export,12993.26,0.9554,0,2024
TRV-000535,Swift Parkes and Johnson,BGA,Banking & Finance,2024-12-22,12,4,NBO,JNB,long_haul,economy,2,6934,0.3705,1.9,5138.094,5.138094,Scope 3,Cat 6 — Business travel,SAP travel booking export,149777.37,0.9526,0,2024
TRV-001121,Webb Hammond and Barker,BUW,Healthcare,2024-06-11,6,2,NBO,DAR,short_haul,economy,3,1670,0.3002,1.9,1504.002,1.504002,Scope 3,Cat 6 — Business travel,SAP travel booking export,34616.01,0.9567,0,2024
TRV-000917,Wright PLC,MUO,Manufacturing,2024-08-11,8,3,NBO,ELD,short_haul,economy,1,820,0.3002,1.9,246.164,0.246164,Scope 3,Cat 6 — Business travel,SAP travel booking export,4472.17,0.9208,0,2024
TRV-000661,White-Moore,OBE,Healthcare,2024-04-05,4,2,NBO,LHR,long_haul,business,2,11378,0.8151,1.9,18548.416,18.548416,Scope 3,Cat 6 — Business travel,SAP travel booking export,249897.34,0.9419,0,2024
TRV-000615,Palmer Nelson and Nolan,FEV,Manufacturing,2024-01-03,1,1,NBO,DXB,long_haul,economy,3,3719,0.3705,1.9,4133.668,4.133668,Scope 3,Cat 6 — Business travel,SAP travel booking export,113754.88,0.9007,0,2024
TRV-000723,White Martin and Edwards,LJB,Retail & FMCG,2024-12-12,12,4,NBO,DAR,short_haul,economy,3,917,0.3002,1.9,825.85,0.82585,Scope 3,Cat 6 — Business travel,SAP travel booking export,29611.78,0.9584,0,2024
TRV-000935,Watson-Willis,IBK,Energy & Petroleum,2024-01-09,1,1,NBO,CPT,long_haul,economy,3,8138,0.3705,1.9,9045.387,9.045387,Scope 3,Cat 6 — Business travel,SAP travel booking export,275658.17,0.9604,0,2024
TRV-000050,Jones-Jackson,QSY,Agriculture,2024-03-29,3,1,NBO,JNB,long_haul,business,3,6795,0.8151,1.9,16615.814,16.615814,Scope 3,Cat 6 — Business travel,SAP travel booking export,227479.93,0.9094,0,2024
TRV-000033,Patel and Sons,TMF,Construction,2024-07-29,7,3,NBO,CPT,long_haul,economy,3,10874,0.3705,1.9,12086.451,12.086451,Scope 3,Cat 6 — Business travel,SAP travel booking export,195620.14,0.9293,0,2024
TRV-001113,Shah Hayward and Smith,PFT,Banking & Finance,2024-08-23,8,3,NBO,LHR,long_haul,economy,3,3526,0.3705,1.9,3919.149,3.919149,Scope 3,Cat 6 — Business travel,SAP travel booking export,79710.5,0.9006,0,2024
TRV-000853,James-Harding,MXG,Healthcare,2024-01-24,1,1,NBO,JNB,long_haul,economy,3,8796,0.3705,1.9,9776.754,9.776754,Scope 3,Cat 6 — Business travel,SAP travel booking export,141204.69,0.9606,0,2024
TRV-000671,White-Moore,OBE,Healthcare,2024-10-01,10,4,NBO,JNB,long_haul,business,3,7724,0.8151,1.9,18887.497,18.887497,Scope 3,Cat 6 — Business travel,SAP travel booking export,177774.56,0.9395,0,2024
TRV-001133,Webb Hammond and Barker,BUW,Healthcare,2024-08-14,8,3,NBO,LHR,long_haul,business,3,4074,0.8151,1.9,9962.152,9.962152,Scope 3,Cat 6 — Business travel,SAP travel booking export,62224.11,0.9263,0,2024
TRV-000234,Wood-Green,KSC,Agriculture,2024-04-23,4,2,NBO,LHR,long_haul,business,2,8314,0.8151,1.9,13553.483,13.553483,Scope 3,Cat 6 — Business travel,SAP travel booking export,158723.19,0.9119,0,2024
TRV-000052,Jones-Jackson,QSY,Agriculture,2024-12-17,12,4,NBO,MBA,short_haul,economy,1,2024,0.3002,1.9,607.605,0.607605,Scope 3,Cat 6 — Business travel,SAP travel booking export,15618.79,0.9492,0,2024
TRV-000584,Phillips Inc,FGL,Construction,2024-08-02,8,3,NBO,LHR,long_haul,economy,2,6812,0.3705,1.9,5047.692,5.047692,Scope 3,Cat 6 — Business travel,SAP travel booking export,138843.07,0.9279,0,2024
TRV-001024,Jennings Inc,RTO,Real Estate,2024-04-18,4,2,NBO,ELD,short_haul,economy,1,1255,0.3002,1.9,376.751,0.376751,Scope 3,Cat 6 — Business travel,SAP travel booking export,10517.66,0.9154,0,2024
TRV-000238,Wood-Green,KSC,Agriculture,2024-06-07,6,2,NBO,MBA,short_haul,economy,3,1095,0.3002,1.9,986.157,0.986157,Scope 3,Cat 6 — Business travel,SAP travel booking export,22340.48,0.9098,0,2024
TRV-000553,Abbott Jarvis and Hall,TPV,Retail & FMCG,2024-06-08,6,2,NBO,MBA,short_haul,economy,3,977,0.3002,1.9,879.886,0.879886,Scope 3,Cat 6 — Business travel,SAP travel booking export,34104.88,0.9152,0,2024
TRV-001336,Scott Ltd,ZSQ,Energy & Petroleum,2024-07-21,7,3,NBO,ELD,short_haul,economy,1,939,0.3002,1.9,281.888,0.281888,Scope 3,Cat 6 — Business travel,SAP travel booking export,9801.17,0.9635,0,2024
TRV-000644,Hawkins-Smith,VXJ,Energy & Petroleum,2024-03-15,3,1,NBO,KIS,short_haul,economy,1,316,0.3002,1.9,94.863,0.094863,Scope 3,Cat 6 — Business travel,SAP travel booking export,3346.59,0.9035,0,2024
TRV-001299,Morris Parker and Gray,HFD,Retail & FMCG,2024-11-07,11,4,NBO,CPT,long_haul,business,2,9864,0.8151,1.9,16080.293,16.080293,Scope 3,Cat 6 — Business travel,SAP travel booking export,209186.72,0.94,0,2024
TRV-000597,Phillips Inc,FGL,Construction,2024-09-09,9,3,NBO,KIS,short_haul,economy,2,1008,0.3002,1.9,605.203,0.605203,Scope 3,Cat 6 — Business travel,SAP travel booking export,20739.83,0.9373,0,2024
TRV-000364,Mann Burton and Williams,SUH,Retail & FMCG,2024-04-10,4,2,NBO,JNB,long_haul,economy,1,11693,0.3705,1.9,4332.256,4.332256,Scope 3,Cat 6 — Business travel,SAP travel booking export,124194.23,0.9003,0,2024
TRV-000102,Stanley Hall and Hill,LBD,Construction,2024-08-24,8,3,NBO,ELD,short_haul,economy,2,1331,0.3002,1.9,799.132,0.799132,Scope 3,Cat 6 — Business travel,SAP travel booking export,17020.49,0.9449,0,2024
TRV-000889,Lawrence-Hurst,FVI,Telecommunications,2024-05-19,5,2,NBO,ELD,short_haul,economy,3,1083,0.3002,1.9,975.35,0.97535,Scope 3,Cat 6 — Business travel,SAP travel booking export,37336.94,0.9753,0,2024
TRV-000789,Cunningham LLC,KJW,Agriculture,2024-06-07,6,2,NBO,CPT,long_haul,economy,3,11801,0.3705,1.9,13116.811,13.116811,Scope 3,Cat 6 — Business travel,SAP travel booking export,354287.16,0.9516,0,2024
TRV-000222,Wood-Green,KSC,Agriculture,2024-06-13,6,2,NBO,LHR,long_haul,economy,2,7169,0.3705,1.9,5312.229,5.312229,Scope 3,Cat 6 — Business travel,SAP travel booking export,146265.47,0.9526,0,2024
TRV-000209,Smith PLC,HCP,Agriculture,2024-01-31,1,1,NBO,MBA,short_haul,economy,3,2300,0.3002,1.9,2071.38,2.07138,Scope 3,Cat 6 — Business travel,SAP travel booking export,70408.91,0.9187,0,2024
TRV-000576,Hall-Jones,CLD,Insurance,2024-12-29,12,4,NBO,KIS,short_haul,economy,3,402,0.3002,1.9,362.041,0.362041,Scope 3,Cat 6 — Business travel,SAP travel booking export,5785.59,0.92,0,2024
TRV-001125,Webb Hammond and Barker,BUW,Healthcare,2024-03-04,3,1,NBO,CPT,long_haul,economy,3,8860,0.3705,1.9,9847.89,9.84789,Scope 3,Cat 6 — Business travel,SAP travel booking export,221553.85,0.9276,0,2024
TRV-000494,Black Walker and Williams,TZV,Insurance,2024-11-01,11,4,NBO,DXB,long_haul,economy,1,4750,0.3705,1.9,1759.875,1.759875,Scope 3,Cat 6 — Business travel,SAP travel booking export,25893.4,0.9328,0,2024
TRV-001252,Hardy Mills and Roberts,WGX,Agriculture,2024-04-12,4,2,NBO,MBA,short_haul,economy,2,1839,0.3002,1.9,1104.136,1.104136,Scope 3,Cat 6 — Business travel,SAP travel booking export,36484.9,0.9389,0,2024
TRV-000064,Hussain Begum and Graham,RCA,Healthcare,2024-11-19,11,4,NBO,ELD,short_haul,economy,3,1323,0.3002,1.9,1191.494,1.191494,Scope 3,Cat 6 — Business travel,SAP travel booking export,44526.62,0.9549,0,2024
TRV-000498,Black Walker and Williams,TZV,Insurance,2024-11-30,11,4,NBO,DAR,short_haul,economy,1,2965,0.3002,1.9,890.093,0.890093,Scope 3,Cat 6 — Business travel,SAP travel booking export,19010.95,0.9006,0,2024
TRV-000290,Bailey Group,BXZ,Retail & FMCG,2024-10-15,10,4,NBO,ELD,short_haul,economy,2,424,0.3002,1.9,254.57,0.25457,Scope 3,Cat 6 — Business travel,SAP travel booking export,5823.63,0.9365,0,2024
TRV-001050,Coles Lee and Smith,TSL,Real Estate,2024-05-06,5,2,NBO,LHR,long_haul,economy,2,3635,0.3705,1.9,2693.535,2.693535,Scope 3,Cat 6 — Business travel,SAP travel booking export,82766.61,0.9503,0,2024
TRV-000304,Thomas Smith and Chan,HZJ,Retail & FMCG,2024-01-27,1,1,NBO,KIS,short_haul,economy,1,1600,0.3002,1.9,480.32,0.48032,Scope 3,Cat 6 — Business travel,SAP travel booking export,12420.26,0.9478,0,2024
TRV-000045,Jones-Jackson,QSY,Agriculture,2024-11-25,11,4,NBO,JNB,long_haul,economy,3,4598,0.3705,1.9,5110.677,5.110677,Scope 3,Cat 6 — Business travel,SAP travel booking export,136588.14,0.9737,0,2024
TRV-001272,Giles Doyle and Tyler,NBX,Construction,2024-09-24,9,3,NBO,MBA,short_haul,economy,1,1596,0.3002,1.9,479.119,0.479119,Scope 3,Cat 6 — Business travel,SAP travel booking export,14419.5,0.9127,0,2024
TRV-001283,Morris Parker and Gray,HFD,Retail & FMCG,2024-03-25,3,1,NBO,KIS,short_haul,economy,2,697,0.3002,1.9,418.479,0.418479,Scope 3,Cat 6 — Business travel,SAP travel booking export,12136.84,0.9203,0,2024
TRV-001146,Hancock Hughes and Holloway,BDE,Energy & Petroleum,2024-12-19,12,4,NBO,DXB,long_haul,economy,2,9081,0.3705,1.9,6729.021,6.729021,Scope 3,Cat 6 — Business travel,SAP travel booking export,169431.5,0.9458,0,2024
TRV-000240,Wood-Green,KSC,Agriculture,2024-10-08,10,4,NBO,CPT,long_haul,economy,1,11049,0.3705,1.9,4093.655,4.093655,Scope 3,Cat 6 — Business travel,SAP travel booking export,125900.9,0.914,0,2024
TRV-000950,Jones-Thorpe,XMD,Banking & Finance,2024-01-10,1,1,NBO,CPT,long_haul,economy,1,10572,0.3705,1.9,3916.926,3.916926,Scope 3,Cat 6 — Business travel,SAP travel booking export,101185.97,0.9648,0,2024
TRV-000746,Hamilton-O'Connor,UHD,Telecommunications,2024-05-01,5,2,NBO,KIS,short_haul,economy,3,804,0.3002,1.9,724.082,0.724082,Scope 3,Cat 6 — Business travel,SAP travel booking export,15628.26,0.9132,0,2024
TRV-000738,White Martin and Edwards,LJB,Retail & FMCG,2024-05-02,5,2,NBO,ELD,short_haul,economy,1,1709,0.3002,1.9,513.042,0.513042,Scope 3,Cat 6 — Business travel,SAP travel booking export,9551.54,0.903,0,2024
TRV-000598,Phillips Inc,FGL,Construction,2024-07-27,7,3,NBO,ADD,short_haul,economy,1,665,0.3002,1.9,199.633,0.199633,Scope 3,Cat 6 — Business travel,SAP travel booking export,7587.7,0.9148,0,2024
TRV-001088,Fletcher Ltd,FLB,Insurance,2024-03-25,3,1,NBO,DAR,short_haul,economy,2,2819,0.3002,1.9,1692.528,1.692528,Scope 3,Cat 6 — Business travel,SAP travel booking export,58054.81,0.9656,0,2024
TRV-001009,Day-Robinson,AUF,Energy & Petroleum,2024-05-09,5,2,NBO,ADD,short_haul,economy,2,2094,0.3002,1.9,1257.238,1.257238,Scope 3,Cat 6 — Business travel,SAP travel booking export,49481.05,0.9597,0,2024
TRV-000916,Wright PLC,MUO,Manufacturing,2024-10-25,10,4,NBO,JNB,long_haul,economy,2,10579,0.3705,1.9,7839.039,7.839039,Scope 3,Cat 6 — Business travel,SAP travel booking export,142796.65,0.9694,0,2024
TRV-000164,Clark-Hudson,LQE,Banking & Finance,2024-12-17,12,4,NBO,JNB,long_haul,economy,1,6256,0.3705,1.9,2317.848,2.317848,Scope 3,Cat 6 — Business travel,SAP travel booking export,52673.32,0.916,0,2024
TRV-000241,Davies-Butler,DHD,Real Estate,2024-03-04,3,1,NBO,DAR,short_haul,economy,3,2960,0.3002,1.9,2665.776,2.665776,Scope 3,Cat 6 — Business travel,SAP travel booking export,65886.34,0.9619,0,2024
TRV-001314,Jones-Curtis,HOD,Manufacturing,2024-07-21,7,3,NBO,LHR,long_haul,business,2,3629,0.8151,1.9,5915.996,5.915996,Scope 3,Cat 6 — Business travel,SAP travel booking export,59218.0,0.9203,0,2024
TRV-000255,Davies-Butler,DHD,Real Estate,2024-09-03,9,3,NBO,LHR,long_haul,economy,3,6040,0.3705,1.9,6713.46,6.71346,Scope 3,Cat 6 — Business travel,SAP travel booking export,134701.86,0.9201,0,2024
TRV-000674,White-Moore,OBE,Healthcare,2024-08-23,8,3,NBO,LHR,long_haul,economy,1,7036,0.3705,1.9,2606.838,2.606838,Scope 3,Cat 6 — Business travel,SAP travel booking export,40760.15,0.9651,0,2024
TRV-000907,Wright PLC,MUO,Manufacturing,2024-03-26,3,1,NBO,LHR,long_haul,economy,2,7378,0.3705,1.9,5467.098,5.467098,Scope 3,Cat 6 — Business travel,SAP travel booking export,122178.74,0.9154,0,2024
TRV-001231,Dixon PLC,LHJ,Manufacturing,2024-09-05,9,3,NBO,KIS,short_haul,economy,2,2940,0.3002,1.9,1765.176,1.765176,Scope 3,Cat 6 — Business travel,SAP travel booking export,64556.35,0.9208,0,2024
TRV-000725,White Martin and Edwards,LJB,Retail & FMCG,2024-06-01,6,2,NBO,MBA,short_haul,economy,2,1207,0.3002,1.9,724.683,0.724683,Scope 3,Cat 6 — Business travel,SAP travel booking export,17257.47,0.9118,0,2024
TRV-000561,Hall-Jones,CLD,Insurance,2024-02-29,2,1,NBO,ELD,short_haul,economy,2,918,0.3002,1.9,551.167,0.551167,Scope 3,Cat 6 — Business travel,SAP travel booking export,19334.95,0.9348,0,2024
TRV-000550,Abbott Jarvis and Hall,TPV,Retail & FMCG,2024-07-28,7,3,NBO,DXB,long_haul,economy,3,3796,0.3705,1.9,4219.254,4.219254,Scope 3,Cat 6 — Business travel,SAP travel booking export,123835.07,0.9419,0,2024
TRV-001120,Shah Hayward and Smith,PFT,Banking & Finance,2024-02-06,2,1,NBO,ADD,short_haul,economy,2,1270,0.3002,1.9,762.508,0.762508,Scope 3,Cat 6 — Business travel,SAP travel booking export,16584.28,0.9336,0,2024
TRV-000873,Sanders-Lawrence,IGI,Energy & Petroleum,2024-06-28,6,2,NBO,ADD,short_haul,economy,2,479,0.3002,1.9,287.592,0.287592,Scope 3,Cat 6 — Business travel,SAP travel booking export,6598.35,0.962,0,2024
TRV-000923,Watson-Willis,IBK,Energy & Petroleum,2024-06-17,6,2,NBO,CPT,long_haul,business,1,7856,0.8151,1.9,6403.426,6.403426,Scope 3,Cat 6 — Business travel,SAP travel booking export,46277.54,0.9787,0,2024
TRV-000717,Patel Woodward and Saunders,JXW,Insurance,2024-03-04,3,1,NBO,KIS,short_haul,economy,1,2123,0.3002,1.9,637.325,0.637325,Scope 3,Cat 6 — Business travel,SAP travel booking export,23082.21,0.9545,0,2024
TRV-000429,Jones Lawrence and Hunter,DIY,Agriculture,2024-11-13,11,4,NBO,ADD,short_haul,economy,1,2733,0.3002,1.9,820.447,0.820447,Scope 3,Cat 6 — Business travel,SAP travel booking export,19369.56,0.9503,0,2024
TRV-001277,Giles Doyle and Tyler,NBX,Construction,2024-05-07,5,2,NBO,LHR,long_haul,economy,1,8330,0.3705,1.9,3086.265,3.086265,Scope 3,Cat 6 — Business travel,SAP travel booking export,85116.96,0.9633,0,2024
TRV-001317,Jones-Curtis,HOD,Manufacturing,2024-03-08,3,1,NBO,DAR,short_haul,economy,2,2806,0.3002,1.9,1684.722,1.684722,Scope 3,Cat 6 — Business travel,SAP travel booking export,64420.39,0.9154,0,2024
TRV-000621,Bates Noble and Giles,PQR,Banking & Finance,2024-04-07,4,2,NBO,KIS,short_haul,economy,2,1039,0.3002,1.9,623.816,0.623816,Scope 3,Cat 6 — Business travel,SAP travel booking export,21176.96,0.9434,0,2024
TRV-000756,Hamilton-O'Connor,UHD,Telecommunications,2024-02-24,2,1,NBO,JNB,long_haul,economy,1,6664,0.3705,1.9,2469.012,2.469012,Scope 3,Cat 6 — Business travel,SAP travel booking export,47105.38,0.9318,0,2024
TRV-000066,Hussain Begum and Graham,RCA,Healthcare,2024-04-28,4,2,NBO,ELD,short_haul,economy,1,394,0.3002,1.9,118.279,0.118279,Scope 3,Cat 6 — Business travel,SAP travel booking export,4375.14,0.952,0,2024
TRV-000579,Hall-Jones,CLD,Insurance,2024-03-14,3,1,NBO,LHR,long_haul,economy,3,10589,0.3705,1.9,11769.674,11.769674,Scope 3,Cat 6 — Business travel,SAP travel booking export,148433.45,0.9679,0,2024
TRV-001019,Day-Robinson,AUF,Energy & Petroleum,2024-01-25,1,1,NBO,DAR,short_haul,economy,2,2151,0.3002,1.9,1291.46,1.29146,Scope 3,Cat 6 — Business travel,SAP travel booking export,32787.26,0.9085,0,2024
TRV-000343,Robinson LLC,RJS,Telecommunications,2024-07-17,7,3,NBO,LHR,long_haul,business,3,7977,0.8151,1.9,19506.158,19.506158,Scope 3,Cat 6 — Business travel,SAP travel booking export,211698.52,0.9453,0,2024
TRV-000543,Abbott Jarvis and Hall,TPV,Retail & FMCG,2024-07-02,7,3,NBO,DAR,short_haul,economy,1,2271,0.3002,1.9,681.754,0.681754,Scope 3,Cat 6 — Business travel,SAP travel booking export,15442.61,0.908,0,2024
TRV-000185,Dickinson Burgess and Fleming,NSF,Telecommunications,2024-11-14,11,4,NBO,CPT,long_haul,economy,3,6546,0.3705,1.9,7275.879,7.275879,Scope 3,Cat 6 — Business travel,SAP travel booking export,223263.66,0.954,0,2024
TRV-000797,Cunningham LLC,KJW,Agriculture,2024-10-30,10,4,NBO,ADD,short_haul,economy,2,2565,0.3002,1.9,1540.026,1.540026,Scope 3,Cat 6 — Business travel,SAP travel booking export,42432.22,0.9039,0,2024
TRV-000970,Williams LLC,ANQ,Banking & Finance,2024-05-05,5,2,NBO,MBA,short_haul,economy,3,1101,0.3002,1.9,991.561,0.991561,Scope 3,Cat 6 — Business travel,SAP travel booking export,23358.86,0.9319,0,2024
TRV-000059,Jones-Jackson,QSY,Agriculture,2024-05-26,5,2,NBO,ADD,short_haul,economy,1,357,0.3002,1.9,107.171,0.107171,Scope 3,Cat 6 — Business travel,SAP travel booking export,2863.31,0.9346,0,2024
TRV-000433,Jones Lawrence and Hunter,DIY,Agriculture,2024-02-20,2,1,NBO,CPT,long_haul,economy,2,11222,0.3705,1.9,8315.502,8.315502,Scope 3,Cat 6 — Business travel,SAP travel booking export,192873.57,0.9327,0,2024
TRV-000934,Watson-Willis,IBK,Energy & Petroleum,2024-11-10,11,4,NBO,ADD,short_haul,economy,2,1553,0.3002,1.9,932.421,0.932421,Scope 3,Cat 6 — Business travel,SAP travel booking export,17789.2,0.9433,0,2024
TRV-001187,Moore Group,PMD,Telecommunications,2024-09-14,9,3,NBO,ELD,short_haul,economy,1,2079,0.3002,1.9,624.116,0.624116,Scope 3,Cat 6 — Business travel,SAP travel booking export,16441.99,0.9108,0,2024
TRV-000024,Patel and Sons,TMF,Construction,2024-02-04,2,1,NBO,ELD,short_haul,economy,2,1575,0.3002,1.9,945.63,0.94563,Scope 3,Cat 6 — Business travel,SAP travel booking export,34029.91,0.9528,0,2024
