anomaly_record_id,company_name,nse_code,vehicle_id,vehicle_class,transaction_date,fuel_declared_l,gps_km_logged,expected_fuel_l,delta_fuel_l,anomaly_flag,anomaly_type,anomaly_confidence,impact_tco2e,isolation_score,resolution_status
ANO-002374,Archer Atkins and Goddard,TML,TML-4WD-023,petrol_4wd,2024-06-16,51.8,141.4,23.36,28.44,1,fuel_type_mismatch,0.9011,0.075082,-0.781,pending
ANO-001462,Moore-Parry,FNM,FNM-SUV-034,petrol_suv,2024-05-31,58.4,149.4,22.04,36.36,1,excessive_idle,0.9078,0.084028,-0.3606,pending
ANO-000951,Moore-Parry,FNM,FNM-BUS-037,diesel_bus,2024-06-05,171.2,75.2,15.97,155.23,1,excessive_idle,0.9157,0.409807,-0.6424,resolved
ANO-000027,Foster-Goddard,LJY,LJY-CNG-015,cng_van,2024-10-02,99.3,148.7,19.3,80.0,1,over_capacity,0.8695,0.1632,-0.4472,pending
ANO-001003,Hale Day and Hudson,VWT,VWT-LPG-011,lpg_van,2024-08-28,37.3,106.1,15.02,22.28,1,fuel_type_mismatch,0.9281,0.036316,-0.7982,pending
ANO-000849,Gibbs Byrne and White,TKR,TKR-VAN-031,diesel_van,2024-01-01,49.9,111.4,13.8,36.1,1,negative_km,0.9222,0.095304,-0.8295,escalated
ANO-001570,Jackson Baker and Wood,ITI,ITI-LPG-036,lpg_van,2024-07-12,64.3,179.1,25.36,38.94,1,excessive_idle,0.874,0.063472,-0.6336,pending
ANO-001611,Jackson Baker and Wood,ITI,ITI-MTR-043,petrol_bike,2024-09-20,11.7,18.4,0.87,10.83,1,excessive_idle,0.8585,0.024865,-0.453,pending
ANO-002446,Hale Day and Hudson,VWT,VWT-SUV-049,petrol_suv,2024-05-27,104.0,109.1,16.09,87.91,1,over_capacity,0.9062,0.20316,-0.5236,escalated
ANO-001684,Wood Ford and Smith,DFH,DFH-BUS-003,diesel_bus,2024-08-18,60.1,179.5,38.13,21.97,1,impossible_consumption,0.8938,0.058001,-0.6648,pending
ANO-001475,White Smith and Dean,DED,DED-CAR-003,petrol_saloon,2024-10-18,44.4,270.5,26.17,18.23,1,negative_km,0.9622,0.042129,-0.474,escalated
ANO-002109,Rogers-James,AFC,AFC-CAR-034,petrol_saloon,2024-08-24,51.2,40.1,3.88,47.32,1,impossible_consumption,0.931,0.109356,-0.8426,pending
ANO-000592,Morgan and Sons,NQY,NQY-MTR-044,petrol_bike,2024-12-10,22.6,234.2,11.05,11.55,1,negative_km,0.9733,0.026519,-0.5056,resolved
ANO-001385,Archer Atkins and Goddard,TML,TML-LPG-016,lpg_van,2024-07-02,81.3,178.6,25.29,56.01,1,over_capacity,0.8979,0.091296,-0.6688,pending
ANO-000287,Whittaker Rogers and Rogers,FAQ,FAQ-4WD-029,petrol_4wd,2024-05-15,63.8,0.0,0.0,63.8,1,zero_gps_nonzero_fuel,0.9242,0.168432,-0.6543,escalated
ANO-000466,Carter-Payne,IUF,IUF-SUV-044,petrol_suv,2024-08-18,45.9,93.5,13.79,32.11,1,negative_km,0.917,0.074206,-0.45,pending
ANO-002488,Martin-Jackson,JPG,JPG-SUV-043,petrol_suv,2024-10-17,51.0,245.6,36.23,14.77,1,fuel_type_mismatch,0.8405,0.034133,-0.5381,pending
ANO-002318,Moore-Parry,FNM,FNM-SUV-022,petrol_suv,2024-06-28,38.2,30.6,4.51,33.69,1,fuel_type_mismatch,0.8884,0.077857,-0.4845,pending
ANO-001598,O'Sullivan PLC,ZTD,ZTD-TRK-016,diesel_truck,2024-04-23,29.9,12.6,4.16,25.74,1,fuel_type_mismatch,0.9083,0.067954,-0.8157,escalated
ANO-000888,Taylor-Bartlett,GUJ,GUJ-CNG-031,cng_van,2024-05-17,56.8,202.6,26.3,30.5,1,excessive_idle,0.9316,0.06222,-0.7896,resolved
ANO-001993,Wood Ford and Smith,DFH,DFH-TRK-002,diesel_truck,2024-01-17,333.9,273.8,90.46,243.44,1,over_capacity,0.8342,0.642682,-0.7142,resolved
ANO-002352,Jones LLC,IBW,IBW-TRK-035,diesel_truck,2024-11-20,31.0,203.1,67.1,-36.1,1,negative_km,0.8462,0.095304,-0.4728,resolved
ANO-002338,Cross-Thomas,EHK,EHK-LPG-021,lpg_van,2024-03-19,51.0,65.1,9.22,41.78,1,excessive_idle,0.8358,0.068101,-0.5016,escalated
ANO-001995,Cross-Thomas,EHK,EHK-4WD-020,petrol_4wd,2024-07-21,64.9,129.8,21.44,43.46,1,excessive_idle,0.9772,0.114734,-0.5071,pending
ANO-000686,Morgan and Sons,NQY,NQY-LPG-011,lpg_van,2024-11-23,100.7,141.9,20.09,80.61,1,impossible_consumption,0.9159,0.131394,-0.7577,resolved
ANO-001337,Cross-Thomas,EHK,EHK-MTR-005,petrol_bike,2024-01-28,16.3,43.3,2.04,14.26,1,over_capacity,0.8728,0.032741,-0.6344,resolved
ANO-002008,Burton PLC,JBS,JBS-CNG-031,cng_van,2024-04-06,24.5,95.9,12.45,12.05,1,negative_km,0.8544,0.024582,-0.6125,pending
ANO-002379,Wood Ford and Smith,DFH,DFH-CNG-042,cng_van,2024-02-26,46.7,82.7,10.73,35.97,1,duplicate_entry,0.8323,0.073379,-0.72,pending
ANO-000363,Brown Ltd,ECS,ECS-SUV-042,petrol_suv,2024-08-12,25.0,0.0,0.0,25.0,1,zero_gps_nonzero_fuel,0.9403,0.057775,-0.764,escalated
ANO-001613,Martin Inc,RRM,RRM-LPG-029,lpg_van,2024-03-28,54.0,210.1,29.75,24.25,1,negative_km,0.936,0.039527,-0.4027,resolved
ANO-000059,Cole Baxter and Smith,MMS,MMS-LPG-016,lpg_van,2024-11-24,51.5,244.7,34.65,16.85,1,excessive_idle,0.8701,0.027466,-0.6586,resolved
ANO-000822,Shepherd-Holden,PYE,PYE-SUV-033,petrol_suv,2024-12-13,78.4,103.3,15.24,63.16,1,over_capacity,0.9308,0.145962,-0.6775,pending
ANO-000410,Cross-Thomas,EHK,EHK-MTR-017,petrol_bike,2024-12-05,75.9,0.0,0.0,75.9,1,zero_gps_nonzero_fuel,0.8517,0.174266,-0.696,pending
ANO-001557,Thompson Green and Lowe,ICD,ICD-MTR-001,petrol_bike,2024-09-09,13.8,162.3,7.66,6.14,1,excessive_idle,0.8545,0.014098,-0.5353,pending
ANO-001604,Davies-Kennedy,DAB,DAB-BUS-049,diesel_bus,2024-07-05,148.5,135.2,28.72,119.78,1,excessive_idle,0.849,0.316219,-0.5309,pending
ANO-001308,Ward Smith and Clarke,BGC,BGC-VAN-030,diesel_van,2024-10-10,71.9,214.2,26.54,45.36,1,excessive_idle,0.9275,0.11975,-0.6716,resolved
ANO-000882,Shaw Ltd,FCJ,FCJ-MTR-049,petrol_bike,2024-10-13,16.3,0.0,0.0,16.3,1,zero_gps_nonzero_fuel,0.8665,0.037425,-0.5195,resolved
ANO-000694,Carter-Payne,IUF,IUF-4WD-018,petrol_4wd,2024-02-02,39.9,158.2,26.13,13.77,1,fuel_type_mismatch,0.9878,0.036353,-0.3839,pending
ANO-002162,Henderson-Bell,PPK,PPK-SUV-009,petrol_suv,2024-04-04,32.8,80.9,11.93,20.87,1,fuel_type_mismatch,0.9814,0.048231,-0.5963,pending
ANO-002412,Whittaker Rogers and Rogers,FAQ,FAQ-MTR-002,petrol_bike,2024-02-22,29.7,152.8,7.21,22.49,1,negative_km,0.8592,0.051637,-0.6281,resolved
ANO-000757,White Smith and Dean,DED,DED-BUS-018,diesel_bus,2024-07-11,38.8,103.1,21.9,16.9,1,negative_km,0.91,0.044616,-0.5239,escalated
ANO-002207,Jones-Payne,JKJ,JKJ-LPG-024,lpg_van,2024-07-09,56.0,161.9,22.93,33.07,1,excessive_idle,0.903,0.053904,-0.5307,resolved
ANO-002149,Taylor-Ball,CGQ,CGQ-MTR-016,petrol_bike,2024-02-18,59.3,0.0,0.0,59.3,1,zero_gps_nonzero_fuel,0.8232,0.136153,-0.8308,escalated
ANO-000797,Cole Baxter and Smith,MMS,MMS-4WD-045,petrol_4wd,2024-12-20,12.7,233.0,38.49,-25.79,1,fuel_type_mismatch,0.951,0.068086,-0.7,resolved
ANO-000445,Jackson Baker and Wood,ITI,ITI-LPG-003,lpg_van,2024-04-16,77.9,270.7,38.33,39.57,1,over_capacity,0.9138,0.064499,-0.5045,pending
ANO-001214,Burton PLC,JBS,JBS-LPG-013,lpg_van,2024-09-18,40.0,121.8,17.25,22.75,1,duplicate_entry,0.9111,0.037082,-0.6875,pending
ANO-000180,Wood Ford and Smith,DFH,DFH-SUV-023,petrol_suv,2024-04-01,44.4,142.5,21.02,23.38,1,duplicate_entry,0.9212,0.054031,-0.3866,pending
ANO-001237,Jones Stanley and Hughes,SZS,SZS-MTR-009,petrol_bike,2024-06-20,14.0,216.0,10.2,3.8,1,excessive_idle,0.9165,0.008725,-0.4881,pending
ANO-000946,Cross-Thomas,EHK,EHK-4WD-032,petrol_4wd,2024-10-05,55.1,0.0,0.0,55.1,1,zero_gps_nonzero_fuel,0.846,0.145464,-0.7892,resolved
ANO-001381,Parry Bates and Adams,HDQ,HDQ-VAN-044,diesel_van,2024-10-04,80.6,18.0,2.23,78.37,1,impossible_consumption,0.9234,0.206897,-0.3505,resolved
ANO-002357,Jones Stanley and Hughes,SZS,SZS-TRK-046,diesel_truck,2024-10-15,217.1,274.8,90.79,126.31,1,excessive_idle,0.8228,0.333458,-0.6632,pending
ANO-000376,Cross-Thomas,EHK,EHK-LPG-035,lpg_van,2024-01-23,66.1,180.2,25.52,40.58,1,excessive_idle,0.8511,0.066145,-0.5887,pending
ANO-000198,Holt-Murphy,GUP,GUP-LPG-005,lpg_van,2024-07-03,78.1,62.3,8.82,69.28,1,over_capacity,0.9567,0.112926,-0.6726,resolved
ANO-000309,Davies Griffin and Clarke,ESU,ESU-VAN-032,diesel_van,2024-11-20,31.2,25.6,3.17,28.03,1,duplicate_entry,0.8435,0.073999,-0.6182,pending
ANO-002424,Davies Griffin and Clarke,ESU,ESU-VAN-019,diesel_van,2024-09-29,28.5,225.2,27.9,0.6,1,fuel_type_mismatch,0.878,0.001584,-0.4324,pending
ANO-000539,King-Bryant,IJP,IJP-MTR-034,petrol_bike,2024-02-15,11.8,214.3,10.11,1.69,1,impossible_consumption,0.8992,0.00388,-0.7991,escalated
ANO-001975,Franklin Bibi and Lewis,IDW,IDW-4WD-016,petrol_4wd,2024-03-17,51.3,0.0,0.0,51.3,1,zero_gps_nonzero_fuel,0.9589,0.135432,-0.7286,escalated
ANO-001440,Carter-Payne,IUF,IUF-LPG-015,lpg_van,2024-11-26,34.6,213.3,30.2,4.4,1,negative_km,0.8957,0.007172,-0.5301,pending
ANO-000684,O'Connor Inc,APN,APN-TRK-041,diesel_truck,2024-12-21,11.2,145.8,48.17,-36.97,1,negative_km,0.9428,0.097601,-0.3599,pending
ANO-001780,Jones Stanley and Hughes,SZS,SZS-CNG-022,cng_van,2024-11-25,35.9,0.0,0.0,35.9,1,zero_gps_nonzero_fuel,0.9529,0.073236,-0.3937,resolved
ANO-002387,Harris-Brown,XXN,XXN-SUV-032,petrol_suv,2024-12-23,34.9,0.0,0.0,34.9,1,zero_gps_nonzero_fuel,0.981,0.080654,-0.5459,pending
ANO-001238,Bell Harris and Walters,PPW,PPW-MTR-044,petrol_bike,2024-12-15,79.3,0.0,0.0,79.3,1,zero_gps_nonzero_fuel,0.846,0.182073,-0.6529,pending
ANO-000526,Foster-Goddard,LJY,LJY-MTR-001,petrol_bike,2024-01-02,13.7,60.3,2.85,10.85,1,fuel_type_mismatch,0.8871,0.024911,-0.7224,pending
ANO-000954,Jackson Baker and Wood,ITI,ITI-BUS-029,diesel_bus,2024-03-16,242.1,37.2,7.9,234.2,1,over_capacity,0.8667,0.618288,-0.7808,pending
ANO-000414,Smith Holmes and Robinson,QNO,QNO-TRK-025,diesel_truck,2024-09-30,74.8,0.0,0.0,74.8,1,zero_gps_nonzero_fuel,0.9413,0.197472,-0.7901,pending
ANO-002477,Cross-Thomas,EHK,EHK-4WD-035,petrol_4wd,2024-07-11,28.6,200.3,33.09,-4.49,1,fuel_type_mismatch,0.821,0.011854,-0.7126,pending
ANO-000850,Parry Bates and Adams,HDQ,HDQ-TRK-030,diesel_truck,2024-06-11,384.2,72.0,23.79,360.41,1,over_capacity,0.9312,0.951482,-0.8366,pending
ANO-001521,Johnson Dixon and King,ADC,ADC-TRK-036,diesel_truck,2024-10-17,434.4,105.0,34.69,399.71,1,over_capacity,0.9772,1.055234,-0.4032,pending
ANO-000057,Butler-James,ZQM,ZQM-BUS-028,diesel_bus,2024-12-15,21.0,0.0,0.0,21.0,1,zero_gps_nonzero_fuel,0.827,0.05544,-0.6507,pending
ANO-000399,Cole Baxter and Smith,MMS,MMS-LPG-019,lpg_van,2024-03-18,95.7,39.0,5.52,90.18,1,impossible_consumption,0.9289,0.146993,-0.5986,escalated
ANO-002433,Taylor Parkin and Reid,TSN,TSN-4WD-043,petrol_4wd,2024-07-08,11.9,137.1,22.65,-10.75,1,fuel_type_mismatch,0.9547,0.02838,-0.3944,pending
ANO-002037,Holt-Murphy,GUP,GUP-SUV-012,petrol_suv,2024-11-08,52.1,105.9,15.62,36.48,1,impossible_consumption,0.9105,0.084305,-0.6301,pending
ANO-001178,Johnson Dixon and King,ADC,ADC-CAR-041,petrol_saloon,2024-03-11,19.1,0.0,0.0,19.1,1,zero_gps_nonzero_fuel,0.9763,0.04414,-0.5325,pending
ANO-001167,White Smith and Dean,DED,DED-MTR-043,petrol_bike,2024-07-24,28.2,0.0,0.0,28.2,1,zero_gps_nonzero_fuel,0.9422,0.064747,-0.5344,escalated
ANO-000386,Moore-Parry,FNM,FNM-LPG-046,lpg_van,2024-06-09,30.5,133.0,18.83,11.67,1,negative_km,0.9387,0.019022,-0.4476,pending
ANO-000247,Jones-Payne,JKJ,JKJ-MTR-025,petrol_bike,2024-03-08,13.0,170.2,8.03,4.97,1,excessive_idle,0.8372,0.011411,-0.4572,escalated
ANO-000043,Martin-Jackson,JPG,JPG-MTR-026,petrol_bike,2024-07-01,11.9,166.1,7.84,4.06,1,excessive_idle,0.886,0.009321,-0.4255,escalated
ANO-001321,Cole Baxter and Smith,MMS,MMS-SUV-027,petrol_suv,2024-11-18,99.4,106.0,15.64,83.76,1,over_capacity,0.9418,0.193569,-0.5039,resolved
ANO-002160,Davies-Kennedy,DAB,DAB-CAR-001,petrol_saloon,2024-06-14,62.1,296.8,28.72,33.38,1,over_capacity,0.8368,0.077141,-0.734,escalated
ANO-001815,Moore-Parry,FNM,FNM-TRK-048,diesel_truck,2024-06-01,20.6,0.0,0.0,20.6,1,zero_gps_nonzero_fuel,0.8972,0.054384,-0.3605,pending
ANO-000708,Cole Baxter and Smith,MMS,MMS-SUV-011,petrol_suv,2024-03-08,51.8,65.9,9.72,42.08,1,excessive_idle,0.9764,0.097247,-0.4897,pending
ANO-000270,Greenwood-Parker,TRR,TRR-BUS-002,diesel_bus,2024-07-31,170.2,169.5,36.0,134.2,1,excessive_idle,0.8892,0.354288,-0.6679,pending
ANO-001575,Archer Atkins and Goddard,TML,TML-SUV-015,petrol_suv,2024-12-16,53.4,236.7,34.91,18.49,1,excessive_idle,0.9831,0.04273,-0.4887,pending
ANO-002103,Shaw Ltd,FCJ,FCJ-SUV-009,petrol_suv,2024-12-13,29.2,22.8,3.36,25.84,1,duplicate_entry,0.8753,0.059716,-0.559,escalated
ANO-001569,Holt-Murphy,GUP,GUP-LPG-028,lpg_van,2024-11-01,24.7,132.1,18.71,5.99,1,duplicate_entry,0.8793,0.009764,-0.7846,pending
ANO-002327,Moore-Parry,FNM,FNM-LPG-032,lpg_van,2024-01-25,67.4,0.0,0.0,67.4,1,zero_gps_nonzero_fuel,0.8271,0.109862,-0.7585,escalated
ANO-002436,Shaw Ltd,FCJ,FCJ-LPG-032,lpg_van,2024-10-27,62.3,0.0,0.0,62.3,1,zero_gps_nonzero_fuel,0.8976,0.101549,-0.4814,resolved
ANO-002180,Franklin Bibi and Lewis,IDW,IDW-CNG-036,cng_van,2024-07-20,115.9,224.2,29.1,86.8,1,impossible_consumption,0.8915,0.177072,-0.7644,resolved
ANO-000193,Shepherd-Holden,PYE,PYE-CNG-013,cng_van,2024-04-01,14.8,195.7,25.4,-10.6,1,fuel_type_mismatch,0.8953,0.021624,-0.7723,pending
ANO-000939,Gibbs Byrne and White,TKR,TKR-SUV-003,petrol_suv,2024-07-05,60.6,0.0,0.0,60.6,1,zero_gps_nonzero_fuel,0.9805,0.140047,-0.4408,escalated
ANO-000887,Patel-Robinson,CSA,CSA-4WD-047,petrol_4wd,2024-05-21,95.9,241.2,39.85,56.05,1,over_capacity,0.9507,0.147972,-0.6582,escalated
ANO-002335,Henderson-Bell,PPK,PPK-VAN-010,diesel_van,2024-10-29,57.1,12.9,1.6,55.5,1,fuel_type_mismatch,0.8641,0.14652,-0.8493,pending
ANO-001069,Jackson Baker and Wood,ITI,ITI-LPG-042,lpg_van,2024-01-23,44.8,0.0,0.0,44.8,1,zero_gps_nonzero_fuel,0.8289,0.073024,-0.4171,resolved
ANO-002032,Butler-James,ZQM,ZQM-TRK-048,diesel_truck,2024-12-06,43.0,43.2,14.27,28.73,1,duplicate_entry,0.9682,0.075847,-0.8247,pending
ANO-001207,Jones Stanley and Hughes,SZS,SZS-LPG-043,lpg_van,2024-01-13,128.0,118.4,16.77,111.23,1,impossible_consumption,0.9208,0.181305,-0.4123,pending
ANO-000690,James Hale and Shepherd,QSC,QSC-CAR-023,petrol_saloon,2024-01-23,48.4,99.9,9.67,38.73,1,fuel_type_mismatch,0.8865,0.089505,-0.5884,pending
ANO-001925,Patel PLC,OXH,OXH-CNG-005,cng_van,2024-12-09,74.1,140.6,18.25,55.85,1,over_capacity,0.9111,0.113934,-0.6591,resolved
ANO-001721,Shepherd-Holden,PYE,PYE-TRK-022,diesel_truck,2024-06-07,237.4,54.7,18.07,219.33,1,impossible_consumption,0.9666,0.579031,-0.7254,pending
ANO-001730,Jackson Baker and Wood,ITI,ITI-LPG-001,lpg_van,2024-12-31,32.7,258.8,36.65,-3.95,1,duplicate_entry,0.9701,0.006438,-0.4592,pending
ANO-001271,Walsh-Brown,LZS,LZS-SUV-043,petrol_suv,2024-03-25,29.4,188.5,27.8,1.6,1,fuel_type_mismatch,0.9849,0.003697,-0.7515,resolved
ANO-000746,Taylor-Ball,CGQ,CGQ-SUV-034,petrol_suv,2024-10-04,51.4,99.1,14.62,36.78,1,negative_km,0.8228,0.084998,-0.4431,pending
ANO-001875,Jones Stanley and Hughes,SZS,SZS-CAR-044,petrol_saloon,2024-01-09,53.1,187.1,18.1,35.0,1,over_capacity,0.9438,0.080885,-0.8084,escalated
ANO-002373,Harris-Brown,XXN,XXN-CAR-022,petrol_saloon,2024-03-10,25.3,166.8,16.14,9.16,1,negative_km,0.9802,0.021168,-0.715,pending
ANO-002435,James Hale and Shepherd,QSC,QSC-LPG-004,lpg_van,2024-06-01,75.3,0.0,0.0,75.3,1,zero_gps_nonzero_fuel,0.878,0.122739,-0.5236,resolved
ANO-000900,Bennett-Evans,RPT,RPT-CNG-044,cng_van,2024-07-06,51.0,51.8,6.72,44.28,1,duplicate_entry,0.877,0.090331,-0.473,resolved
ANO-001663,Dickinson Ltd,ZWK,ZWK-CAR-040,petrol_saloon,2024-10-09,14.4,117.6,11.38,3.02,1,negative_km,0.9695,0.006979,-0.3915,pending
ANO-001236,James LLC,XEO,XEO-TRK-045,diesel_truck,2024-11-16,382.2,191.4,63.24,318.96,1,over_capacity,0.829,0.842054,-0.7194,resolved
ANO-000983,Smith Holmes and Robinson,QNO,QNO-SUV-048,petrol_suv,2024-05-28,26.4,258.7,38.16,-11.76,1,duplicate_entry,0.8292,0.027178,-0.6765,resolved
ANO-000091,Shepherd-Holden,PYE,PYE-LPG-038,lpg_van,2024-08-24,47.0,196.3,27.8,19.2,1,negative_km,0.9531,0.031296,-0.7591,escalated
ANO-002450,Foster-Goddard,LJY,LJY-TRK-042,diesel_truck,2024-07-03,407.5,236.4,78.11,329.39,1,over_capacity,0.8251,0.86959,-0.6783,resolved
ANO-000115,Patel-Robinson,CSA,CSA-BUS-016,diesel_bus,2024-04-16,158.2,281.7,59.83,98.37,1,impossible_consumption,0.9059,0.259697,-0.5487,resolved
ANO-000251,Harris-Brown,XXN,XXN-LPG-020,lpg_van,2024-12-14,52.2,34.7,4.91,47.29,1,excessive_idle,0.9392,0.077083,-0.7625,pending
ANO-002350,White Smith and Dean,DED,DED-LPG-001,lpg_van,2024-12-25,25.1,158.6,22.46,2.64,1,negative_km,0.9445,0.004303,-0.5326,pending
