sim_id,ev_mandate_pct,fuel_economy_std_pct,remote_work_pct,sector_baseline_tco2e,projected_reduction_tco2e,projected_total_tco2e,reduction_pct,ndc_2025_target,ndc_gap_tco2e,ndc_met,label_ndc_met
SIM-000059,28.7,42.6,23.6,218000,36008.5,181991.5,16.52,200000,0.0,1,yes
SIM-000822,12.9,29.9,19.4,218000,21253.6,196746.4,9.75,200000,0.0,1,yes
SIM-000410,47.1,48.9,27.2,218000,49560.9,168439.1,22.73,200000,0.0,1,yes
SIM-001557,0.5,28.9,34.7,218000,16253.8,201746.2,7.46,200000,1746.2,0,no
SIM-001604,79.8,21.1,31.0,218000,61628.5,156371.5,28.27,200000,0.0,1,yes
SIM-001308,59.2,36.8,1.6,218000,48580.2,169419.8,22.28,200000,0.0,1,yes
SIM-000882,19.3,16.3,14.0,218000,19315.0,198685.0,8.86,200000,0.0,1,yes
SIM-000694,5.8,47.4,49.8,218000,28630.5,189369.5,13.13,200000,0.0,1,yes
SIM-002162,97.2,28.1,37.1,218000,75835.7,142164.3,34.79,200000,0.0,1,yes
SIM-002412,54.0,2.0,34.1,218000,40617.4,177382.6,18.63,200000,0.0,1,yes
SIM-000757,49.0,31.3,46.8,218000,49876.9,168123.1,22.88,200000,0.0,1,yes
SIM-002207,90.4,16.1,20.3,218000,64582.6,153417.4,29.63,200000,0.0,1,yes
SIM-002149,7.3,23.8,18.6,218000,16145.4,201854.6,7.41,200000,1854.6,0,no
SIM-000797,48.2,1.0,45.1,218000,39217.3,178782.7,17.99,200000,0.0,1,yes
SIM-000445,1.2,41.0,15.7,218000,16787.7,201212.3,7.7,200000,1212.3,0,no
SIM-001214,64.1,49.2,49.8,218000,65381.0,152619.0,29.99,200000,0.0,1,yes
SIM-000180,45.2,34.4,4.4,218000,39884.4,178115.6,18.3,200000,0.0,1,yes
SIM-001237,71.4,13.5,5.0,218000,49156.0,168844.0,22.55,200000,0.0,1,yes
SIM-000946,31.9,43.7,1.3,218000,34049.9,183950.1,15.62,200000,0.0,1,yes
SIM-001381,72.4,7.1,24.7,218000,51153.5,166846.5,23.46,200000,0.0,1,yes
SIM-002357,5.0,46.8,10.2,218000,20902.9,197097.1,9.59,200000,0.0,1,yes
SIM-000376,51.8,46.7,2.6,218000,47335.2,170664.8,21.71,200000,0.0,1,yes
SIM-000198,79.8,35.8,3.6,218000,60575.3,157424.7,27.79,200000,0.0,1,yes
SIM-000309,82.7,13.4,23.4,218000,58891.8,159108.2,27.01,200000,0.0,1,yes
SIM-002424,99.2,1.6,9.6,218000,63077.0,154923.0,28.93,200000,0.0,1,yes
SIM-000539,24.1,21.3,6.4,218000,23315.4,194684.6,10.7,200000,0.0,1,yes
SIM-001975,39.2,12.6,49.1,218000,37326.8,180673.2,17.12,200000,0.0,1,yes
SIM-001440,9.5,7.0,10.4,218000,10690.4,207309.6,4.9,200000,7309.6,0,no
SIM-000684,54.5,11.6,0.8,218000,37555.6,180444.4,17.23,200000,0.0,1,yes
SIM-001780,70.7,22.4,27.2,218000,55866.2,162133.8,25.63,200000,0.0,1,yes
SIM-002387,62.1,26.2,27.1,218000,51658.1,166341.9,23.7,200000,0.0,1,yes
SIM-001238,50.4,12.6,5.9,218000,35395.8,182604.2,16.24,200000,0.0,1,yes
SIM-000526,41.4,24.3,54.0,218000,44555.1,173444.9,20.44,200000,0.0,1,yes
SIM-000954,69.4,21.4,6.0,218000,51176.5,166823.5,23.48,200000,0.0,1,yes
SIM-000414,26.2,0.3,2.8,218000,16836.1,201163.9,7.72,200000,1163.9,0,no
SIM-002477,57.7,3.9,1.8,218000,37464.0,180536.0,17.19,200000,0.0,1,yes
SIM-000850,34.9,14.1,20.6,218000,29783.1,188216.9,13.66,200000,0.0,1,yes
SIM-001521,84.9,16.8,33.5,218000,63619.8,154380.2,29.18,200000,0.0,1,yes
SIM-000057,64.9,27.4,17.4,218000,52433.4,165566.6,24.05,200000,0.0,1,yes
SIM-000399,5.4,35.2,4.0,218000,15886.3,202113.7,7.29,200000,2113.7,0,no
SIM-002433,71.3,23.1,52.5,218000,61025.3,156974.7,27.99,200000,0.0,1,yes
SIM-002037,81.8,37.7,36.6,218000,69130.6,148869.4,31.71,200000,0.0,1,yes
SIM-001178,85.0,41.9,58.3,218000,77737.1,140262.9,35.66,200000,0.0,1,yes
SIM-001167,64.2,14.3,43.6,218000,51800.3,166199.7,23.76,200000,0.0,1,yes
SIM-000386,46.3,6.3,7.6,218000,32016.6,185983.4,14.69,200000,0.0,1,yes
SIM-000247,98.0,23.5,25.6,218000,73036.8,144963.2,33.5,200000,0.0,1,yes
SIM-000043,15.9,1.7,38.7,218000,17600.4,200399.6,8.07,200000,399.6,0,no
SIM-001321,66.8,16.0,31.3,218000,51551.2,166448.8,23.65,200000,0.0,1,yes
SIM-002160,34.4,31.8,24.8,218000,36439.2,181560.8,16.72,200000,0.0,1,yes
SIM-001815,44.5,39.6,14.4,218000,42230.0,175770.0,19.37,200000,0.0,1,yes
SIM-000708,39.4,21.8,19.5,218000,34339.8,183660.2,15.75,200000,0.0,1,yes
SIM-000270,53.6,37.0,17.2,218000,48119.4,169880.6,22.07,200000,0.0,1,yes
SIM-001575,55.9,37.7,15.1,218000,50159.5,167840.5,23.01,200000,0.0,1,yes
SIM-002103,30.8,41.9,9.0,218000,35062.9,182937.1,16.08,200000,0.0,1,yes
SIM-001569,98.1,24.7,52.4,218000,77777.8,140222.2,35.68,200000,0.0,1,yes
SIM-002327,8.4,34.9,24.2,218000,21602.9,196397.1,9.91,200000,0.0,1,yes
SIM-002436,34.1,41.4,25.6,218000,38729.7,179270.3,17.77,200000,0.0,1,yes
SIM-002180,96.4,20.1,0.3,218000,64753.1,153246.9,29.7,200000,0.0,1,yes
SIM-000193,42.4,1.6,37.7,218000,33988.7,184011.3,15.59,200000,0.0,1,yes
SIM-000939,8.2,21.3,54.5,218000,21889.4,196110.6,10.04,200000,0.0,1,yes
SIM-000887,9.9,4.3,6.2,218000,8488.9,209511.1,3.89,200000,9511.1,0,no
SIM-002335,93.7,41.0,3.0,218000,71334.7,146665.3,32.72,200000,0.0,1,yes
SIM-001069,88.2,45.4,58.4,218000,80074.8,137925.2,36.73,200000,0.0,1,yes
SIM-002032,2.3,3.8,49.6,218000,12717.5,205282.5,5.83,200000,5282.5,0,no
SIM-001207,25.1,14.9,56.2,218000,31135.6,186864.4,14.28,200000,0.0,1,yes
SIM-000690,12.9,47.0,8.3,218000,25432.8,192567.2,11.67,200000,0.0,1,yes
SIM-001925,11.1,21.6,32.5,218000,19668.7,198331.3,9.02,200000,0.0,1,yes
SIM-001721,56.0,23.6,20.6,218000,45417.6,172582.4,20.83,200000,0.0,1,yes
SIM-001730,1.5,4.5,45.6,218000,11050.1,206949.9,5.07,200000,6949.9,0,no
SIM-001271,31.6,30.9,9.5,218000,31082.0,186918.0,14.26,200000,0.0,1,yes
SIM-000746,95.8,19.0,54.9,218000,76026.3,141973.7,34.87,200000,0.0,1,yes
SIM-001875,39.3,47.8,3.5,218000,40854.2,177145.8,18.74,200000,0.0,1,yes
SIM-002373,99.4,14.8,18.2,218000,68396.5,149603.5,31.37,200000,0.0,1,yes
SIM-002435,5.6,49.1,46.4,218000,27909.1,190090.9,12.8,200000,0.0,1,yes
SIM-000900,96.7,18.6,23.4,218000,69092.6,148907.4,31.69,200000,0.0,1,yes
SIM-001663,23.4,4.8,12.6,218000,18556.1,199443.9,8.51,200000,0.0,1,yes
SIM-001236,17.0,35.4,51.9,218000,32325.5,185674.5,14.83,200000,0.0,1,yes
SIM-000983,0.3,27.5,27.9,218000,14376.4,203623.6,6.59,200000,3623.6,0,no
SIM-000091,58.1,19.1,45.2,218000,50991.6,167008.4,23.39,200000,0.0,1,yes
SIM-002450,1.2,47.1,53.4,218000,27216.2,190783.8,12.48,200000,0.0,1,yes
SIM-000115,12.4,2.3,5.7,218000,9158.4,208841.6,4.2,200000,8841.6,0,no
SIM-000251,74.7,43.3,40.1,218000,67282.4,150717.6,30.86,200000,0.0,1,yes
SIM-002350,57.0,39.1,58.8,218000,59901.6,158098.4,27.48,200000,0.0,1,yes
SIM-001707,53.6,6.8,58.3,218000,45926.5,172073.5,21.07,200000,0.0,1,yes
SIM-001349,36.2,4.7,20.1,218000,27597.0,190403.0,12.66,200000,0.0,1,yes
SIM-001882,0.7,6.7,40.5,218000,10430.3,207569.7,4.78,200000,7569.7,0,no
SIM-000485,61.5,43.0,24.0,218000,55558.9,162441.1,25.49,200000,0.0,1,yes
SIM-002132,75.4,14.5,19.8,218000,54339.2,163660.8,24.93,200000,0.0,1,yes
SIM-000778,68.7,7.6,30.5,218000,50513.4,167486.6,23.17,200000,0.0,1,yes
SIM-000269,97.2,15.4,16.6,218000,68359.3,149640.7,31.36,200000,0.0,1,yes
SIM-001093,97.4,42.5,47.0,218000,82804.2,135195.8,37.98,200000,0.0,1,yes
SIM-002380,39.9,15.1,52.7,218000,39127.9,178872.1,17.95,200000,0.0,1,yes
SIM-002153,16.9,1.2,50.2,218000,20151.1,197848.9,9.24,200000,0.0,1,yes
SIM-001033,42.4,34.5,57.3,218000,48353.9,169646.1,22.18,200000,0.0,1,yes
SIM-001134,66.5,8.2,3.3,218000,43488.7,174511.3,19.95,200000,0.0,1,yes
SIM-000083,89.9,32.2,13.3,218000,67702.9,150297.1,31.06,200000,0.0,1,yes
SIM-001192,87.8,34.2,25.5,218000,70517.8,147482.2,32.35,200000,0.0,1,yes
SIM-002465,95.2,14.4,26.7,218000,67598.6,150401.4,31.01,200000,0.0,1,yes
SIM-000254,57.2,21.8,38.0,218000,48800.6,169199.4,22.39,200000,0.0,1,yes
SIM-002287,17.1,43.5,31.5,218000,30126.4,187873.6,13.82,200000,0.0,1,yes
SIM-000022,3.0,0.4,24.0,218000,6068.8,211931.2,2.78,200000,11931.2,0,no
SIM-001504,7.3,15.7,11.7,218000,11214.5,206785.5,5.14,200000,6785.5,0,no
SIM-001860,95.6,18.2,54.6,218000,75652.9,142347.1,34.7,200000,0.0,1,yes
SIM-002307,12.7,18.3,51.0,218000,22979.6,195020.4,10.54,200000,0.0,1,yes
SIM-001704,54.9,37.9,14.3,218000,48535.3,169464.7,22.26,200000,0.0,1,yes
SIM-000303,35.9,17.3,8.7,218000,29090.7,188909.3,13.34,200000,0.0,1,yes
SIM-000475,29.2,24.4,20.9,218000,29173.4,188826.6,13.38,200000,0.0,1,yes
SIM-000017,49.4,45.3,34.9,218000,51777.1,166222.9,23.75,200000,0.0,1,yes
SIM-002377,59.7,20.4,21.5,218000,46919.8,171080.2,21.52,200000,0.0,1,yes
SIM-002442,35.8,33.0,42.2,218000,41666.8,176333.2,19.11,200000,0.0,1,yes
SIM-001601,23.6,43.4,38.2,218000,36676.8,181323.2,16.82,200000,0.0,1,yes
SIM-000443,47.3,2.7,31.3,218000,35877.8,182122.2,16.46,200000,0.0,1,yes
SIM-002128,82.6,11.2,6.3,218000,55955.2,162044.8,25.67,200000,0.0,1,yes
SIM-001548,26.8,5.3,52.6,218000,27917.4,190082.6,12.81,200000,0.0,1,yes
SIM-001508,25.6,32.2,40.5,218000,34224.8,183775.2,15.7,200000,0.0,1,yes
SIM-000253,59.4,10.1,27.2,218000,45253.4,172746.6,20.76,200000,0.0,1,yes
SIM-001356,20.2,7.8,58.0,218000,26659.6,191340.4,12.23,200000,0.0,1,yes
SIM-001479,25.3,7.0,10.3,218000,19356.5,198643.5,8.88,200000,0.0,1,yes
SIM-000610,45.6,42.5,9.1,218000,44288.4,173711.6,20.32,200000,0.0,1,yes
SIM-002455,71.3,18.3,25.4,218000,53887.2,164112.8,24.72,200000,0.0,1,yes
SIM-002483,99.0,5.8,39.5,218000,70815.5,147184.5,32.48,200000,0.0,1,yes
SIM-000804,52.7,40.0,18.0,218000,49286.7,168713.3,22.61,200000,0.0,1,yes
SIM-000107,73.8,1.7,20.6,218000,49374.2,168625.8,22.65,200000,0.0,1,yes
SIM-002188,51.1,43.2,3.9,218000,45428.7,172571.3,20.84,200000,0.0,1,yes
SIM-000765,38.1,35.0,55.8,218000,45844.1,172155.9,21.03,200000,0.0,1,yes
SIM-002125,89.5,7.8,1.5,218000,58250.3,159749.7,26.72,200000,0.0,1,yes
SIM-000482,75.7,22.5,53.2,218000,63677.2,154322.8,29.21,200000,0.0,1,yes
SIM-000557,2.5,3.8,39.4,218000,10247.5,207752.5,4.7,200000,7752.5,0,no
SIM-001015,87.4,29.9,1.1,218000,63994.7,154005.3,29.36,200000,0.0,1,yes
SIM-000227,13.4,37.1,57.1,218000,31114.3,186885.7,14.27,200000,0.0,1,yes
SIM-000449,29.2,26.7,51.8,218000,36941.1,181058.9,16.95,200000,0.0,1,yes
SIM-002053,8.0,13.7,11.4,218000,12105.4,205894.6,5.55,200000,5894.6,0,no
SIM-000354,9.3,35.9,15.0,218000,19933.0,198067.0,9.14,200000,0.0,1,yes
SIM-000342,94.8,39.7,44.5,218000,80095.8,137904.2,36.74,200000,0.0,1,yes
SIM-002274,56.7,33.9,55.9,218000,56393.2,161606.8,25.87,200000,0.0,1,yes
SIM-001502,74.8,5.3,25.0,218000,52737.9,165262.1,24.19,200000,0.0,1,yes
SIM-000993,89.4,14.3,5.3,218000,60718.4,157281.6,27.85,200000,0.0,1,yes
SIM-001706,86.7,17.7,5.4,218000,60484.8,157515.2,27.75,200000,0.0,1,yes
SIM-000807,28.2,47.1,44.0,218000,41170.7,176829.3,18.89,200000,0.0,1,yes
SIM-002383,61.5,14.4,35.1,218000,49465.9,168534.1,22.69,200000,0.0,1,yes
SIM-002231,9.7,0.0,44.1,218000,13854.4,204145.6,6.36,200000,4145.6,0,no
SIM-002291,64.8,48.3,29.8,218000,60522.7,157477.3,27.76,200000,0.0,1,yes
SIM-000241,58.8,11.5,57.4,218000,51352.8,166647.2,23.56,200000,0.0,1,yes
SIM-001355,45.9,1.1,55.1,218000,39959.2,178040.8,18.33,200000,0.0,1,yes
SIM-001297,2.8,0.6,29.2,218000,7294.3,210705.7,3.35,200000,10705.7,0,no
SIM-002437,25.5,6.1,27.1,218000,22787.3,195212.7,10.45,200000,0.0,1,yes
SIM-001676,12.2,21.8,21.9,218000,18460.0,199540.0,8.47,200000,0.0,1,yes
SIM-001493,28.9,33.7,45.1,218000,37527.9,180472.1,17.21,200000,0.0,1,yes
SIM-001722,91.1,43.9,17.2,218000,72900.8,145099.2,33.44,200000,0.0,1,yes
SIM-001788,34.8,25.9,20.2,218000,33372.4,184627.6,15.31,200000,0.0,1,yes
SIM-000135,90.8,1.1,17.8,218000,59554.4,158445.6,27.32,200000,0.0,1,yes
SIM-001633,93.2,20.1,54.1,218000,74269.5,143730.5,34.07,200000,0.0,1,yes
SIM-002194,83.2,27.4,13.7,218000,62040.7,155959.3,28.46,200000,0.0,1,yes
SIM-000971,22.9,39.9,20.0,218000,30708.7,187291.3,14.09,200000,0.0,1,yes
SIM-002381,48.2,48.4,26.1,218000,50677.9,167322.1,23.25,200000,0.0,1,yes
SIM-002006,73.7,35.9,1.1,218000,57341.0,160659.0,26.3,200000,0.0,1,yes
SIM-000152,70.0,40.3,11.1,218000,58846.6,159153.4,26.99,200000,0.0,1,yes
SIM-001204,66.0,1.5,30.0,218000,46012.4,171987.6,21.11,200000,0.0,1,yes
SIM-002299,83.2,11.6,48.3,218000,64018.7,153981.3,29.37,200000,0.0,1,yes
SIM-002248,56.8,26.4,38.3,218000,50939.3,167060.7,23.37,200000,0.0,1,yes
SIM-001657,37.9,49.9,18.0,218000,42683.6,175316.4,19.58,200000,0.0,1,yes
SIM-002170,52.2,33.6,44.4,218000,51397.7,166602.3,23.58,200000,0.0,1,yes
SIM-002314,78.4,26.9,6.5,218000,57310.8,160689.2,26.29,200000,0.0,1,yes
SIM-002175,19.5,32.2,11.7,218000,24507.3,193492.7,11.24,200000,0.0,1,yes
SIM-000018,16.2,26.2,12.4,218000,20353.8,197646.2,9.34,200000,0.0,1,yes
SIM-001358,94.3,4.6,59.7,218000,71054.3,146945.7,32.59,200000,0.0,1,yes
SIM-000164,86.9,21.2,53.1,218000,70487.1,147512.9,32.33,200000,0.0,1,yes
SIM-001682,67.2,33.0,14.4,218000,54098.8,163901.2,24.82,200000,0.0,1,yes
SIM-002411,69.9,31.9,46.0,218000,62633.5,155366.5,28.73,200000,0.0,1,yes
SIM-000060,12.0,8.0,42.9,218000,18143.4,199856.6,8.32,200000,0.0,1,yes
SIM-001839,38.8,8.1,21.9,218000,30005.4,187994.6,13.76,200000,0.0,1,yes
SIM-000821,64.9,31.2,45.6,218000,58712.9,159287.1,26.93,200000,0.0,1,yes
SIM-001700,14.1,21.6,45.7,218000,25187.5,192812.5,11.55,200000,0.0,1,yes
SIM-001667,1.8,22.0,20.5,218000,12456.9,205543.1,5.71,200000,5543.1,0,no
SIM-001977,92.5,2.2,41.9,218000,65427.5,152572.5,30.01,200000,0.0,1,yes
SIM-001354,92.0,3.5,8.5,218000,59536.9,158463.1,27.31,200000,0.0,1,yes
SIM-001201,37.6,42.6,55.0,218000,48198.7,169801.3,22.11,200000,0.0,1,yes
SIM-001513,13.4,39.9,17.4,218000,24001.4,193998.6,11.01,200000,0.0,1,yes
SIM-001096,36.4,24.9,10.2,218000,31631.6,186368.4,14.51,200000,0.0,1,yes
SIM-001269,97.7,49.0,33.0,218000,81345.4,136654.6,37.31,200000,0.0,1,yes
SIM-002490,67.3,0.6,41.4,218000,49624.8,168375.2,22.76,200000,0.0,1,yes
SIM-001918,69.2,29.8,16.1,218000,55223.7,162776.3,25.33,200000,0.0,1,yes
SIM-000274,60.3,20.4,9.3,218000,44742.9,173257.1,20.52,200000,0.0,1,yes
SIM-001675,53.2,6.9,42.5,218000,43547.3,174452.7,19.98,200000,0.0,1,yes
SIM-001394,80.0,32.8,15.8,218000,61951.8,156048.2,28.42,200000,0.0,1,yes
SIM-001350,38.3,0.8,45.1,218000,32925.9,185074.1,15.1,200000,0.0,1,yes
SIM-000877,88.5,3.9,9.1,218000,57187.3,160812.7,26.23,200000,0.0,1,yes
SIM-000358,62.7,26.1,31.3,218000,52389.5,165610.5,24.03,200000,0.0,1,yes
SIM-002235,31.0,4.2,27.8,218000,26543.1,191456.9,12.18,200000,0.0,1,yes
SIM-000809,7.5,4.3,38.8,218000,13060.4,204939.6,5.99,200000,4939.6,0,no
SIM-001338,76.5,10.6,10.1,218000,51375.7,166624.3,23.57,200000,0.0,1,yes
SIM-000324,7.5,26.4,32.4,218000,20038.5,197961.5,9.19,200000,0.0,1,yes
SIM-000521,58.2,33.2,12.9,218000,49259.3,168740.7,22.6,200000,0.0,1,yes
SIM-000493,32.0,33.0,35.8,218000,37143.3,180856.7,17.04,200000,0.0,1,yes
SIM-000357,14.2,41.4,49.6,218000,32409.8,185590.2,14.87,200000,0.0,1,yes
SIM-000084,24.1,34.5,27.9,218000,31741.5,186258.5,14.56,200000,0.0,1,yes
SIM-002309,10.6,3.8,22.9,218000,12722.7,205277.3,5.84,200000,5277.3,0,no
SIM-000663,10.7,18.0,52.1,218000,23336.6,194663.4,10.7,200000,0.0,1,yes
SIM-001042,86.6,17.6,32.5,218000,65384.1,152615.9,29.99,200000,0.0,1,yes
SIM-000693,77.4,6.8,57.2,218000,60057.0,157943.0,27.55,200000,0.0,1,yes
SIM-001922,72.4,6.5,21.6,218000,51120.7,166879.3,23.45,200000,0.0,1,yes
SIM-002394,69.8,38.8,7.8,218000,56539.9,161460.1,25.94,200000,0.0,1,yes
SIM-002034,4.6,36.6,18.0,218000,17823.9,200176.1,8.18,200000,176.1,0,no
SIM-000494,33.7,22.1,33.1,218000,33966.7,184033.3,15.58,200000,0.0,1,yes
SIM-001727,54.5,33.4,47.7,218000,53900.8,164099.2,24.73,200000,0.0,1,yes
SIM-000703,0.9,37.5,54.8,218000,23713.7,194286.3,10.88,200000,0.0,1,yes
SIM-001275,78.0,0.7,41.0,218000,56624.4,161375.6,25.97,200000,0.0,1,yes
SIM-001833,46.9,20.1,40.4,218000,43019.0,174981.0,19.73,200000,0.0,1,yes
SIM-000974,6.5,15.8,37.4,218000,16434.8,201565.2,7.54,200000,1565.2,0,no
SIM-001328,26.3,41.3,2.5,218000,29504.9,188495.1,13.53,200000,0.0,1,yes
SIM-002491,9.3,42.8,22.2,218000,24716.3,193283.7,11.34,200000,0.0,1,yes
SIM-002289,3.9,1.2,37.6,218000,10463.3,207536.7,4.8,200000,7536.7,0,no
SIM-001674,31.3,25.2,59.4,218000,38820.4,179179.6,17.81,200000,0.0,1,yes
SIM-002014,78.7,14.6,1.1,218000,52430.1,165569.9,24.05,200000,0.0,1,yes
SIM-002104,93.0,39.3,9.3,218000,70878.8,147121.2,32.51,200000,0.0,1,yes
SIM-001567,81.0,30.4,50.2,218000,68943.8,149056.2,31.63,200000,0.0,1,yes
SIM-001826,70.6,11.8,36.3,218000,54523.9,163476.1,25.01,200000,0.0,1,yes
SIM-002293,25.1,27.5,8.1,218000,26464.4,191535.6,12.14,200000,0.0,1,yes
SIM-001952,25.1,35.0,44.9,218000,36130.5,181869.5,16.57,200000,0.0,1,yes
