record_id,company_name,nse_code,sector,county,vehicle_id,vehicle_class,fuel_type,transaction_date,month,quarter,fuel_station_brand,fuel_station_area,fuel_litres,fuel_price_ksh_per_l,fuel_cost_ksh,gps_km_driven,defra_ef_kgco2e_per_l,kenya_road_adj,emission_kgco2e,emission_tco2e,scope,data_source,extraction_confidence,anomaly_flag,anomaly_type,fy_year
FC-0013103,Morris Jackson and Lambert,PEA,Agriculture,Thika,PEA-SUV-001,petrol_suv,petrol,2024-10-22,10,4,Total Kenya,Parklands,45.0,207.19,9323.45,294.2,2.311,1.18,103.995,0.103995,Scope 1,Fuel card statement,0.9603,0,clean,2024
FC-0006528,Ryan LLC,YNQ,Insurance,Nyeri,YNQ-SUV-015,petrol_suv,petrol,2024-12-30,12,4,Oryx Energies,Industrial Area,6.03,214.12,1291.14,42.9,2.311,1.18,13.935,0.013935,Scope 1,Fuel card statement,0.9809,0,clean,2024
FC-0014592,Dixon-Goddard,BFN,Telecommunications,Kilifi,BFN-CAR-009,petrol_saloon,petrol,2024-11-03,11,4,Galana Oil,Karen,15.18,211.71,3213.71,150.4,2.311,1.18,35.081,0.035081,Scope 1,Fuel card statement,0.9411,0,clean,2024
FC-0010541,Turnbull Inc,QZY,Media,Kilifi,QZY-MTR-027,petrol_bike,petrol,2024-01-21,1,1,Petrol Plus,Embakasi,14.7,210.8,3098.75,449.6,2.296,1.18,33.751,0.033751,Scope 1,Fuel card statement,0.959,0,clean,2024
FC-0000340,Clark Dawson and Atkinson,ODV,Retail & FMCG,Mombasa,ODV-SUV-004,petrol_suv,petrol,2024-09-06,9,3,Galana Oil,Lavington,30.12,217.2,6542.14,196.7,2.311,1.18,69.607,0.069607,Scope 1,Fuel card statement,0.9271,0,clean,2024
FC-0009833,Kemp and Sons,QTD,Healthcare,Kilifi,QTD-4WD-003,petrol_4wd,petrol,2024-03-29,3,1,Galana Oil,Karen,65.35,207.59,13566.17,384.1,2.64,1.18,172.524,0.172524,Scope 1,Fuel card statement,0.9172,0,clean,2024
FC-0012340,Riley-Burrows,YEC,Energy & Petroleum,Embu,YEC-MTR-004,petrol_bike,petrol,2024-01-12,1,1,Galana Oil,Eastleigh,10.03,208.3,2089.29,216.7,2.296,1.18,23.029,0.023029,Scope 1,Fuel card statement,0.9551,0,clean,2024
FC-0001362,Moore and Sons,ZOO,Telecommunications,Thika,ZOO-CAR-013,petrol_saloon,petrol,2024-04-14,4,2,Gulf Energy,Parklands,35.52,212.63,7552.48,356.9,2.311,1.18,82.087,0.082087,Scope 1,Fuel card statement,0.9427,0,clean,2024
FC-0013732,Ingram-Green,XQO,Real Estate,Embu,XQO-VAN-026,diesel_van,diesel,2024-02-05,2,1,Oryx Energies,Parklands,2.4,204.38,490.52,20.3,2.64,1.18,6.336,0.006336,Scope 1,Fuel card statement,0.956,0,clean,2024
FC-0004152,Palmer Inc,AHX,Retail & FMCG,Nyeri,AHX-MTR-018,petrol_bike,petrol,2024-04-14,4,2,Galana Oil,Upper Hill,14.7,216.39,3180.94,322.6,2.296,1.18,33.751,0.033751,Scope 1,Fuel card statement,0.9571,0,clean,2024
FC-0009021,Lucas Coleman and Morton,BYH,Education,Kakamega,BYH-CAR-008,petrol_saloon,petrol,2024-04-13,4,2,Total Kenya,Lavington,11.87,215.25,2555.0,120.8,2.311,1.18,27.432,0.027432,Scope 1,Fuel card statement,0.9338,0,clean,2024
FC-0015059,Pearson-Hammond,XDJ,Banking & Finance,Kisii,XDJ-BUS-009,diesel_bus,diesel,2024-03-25,3,1,Vivo Energy (Shell),Runda,60.6,195.23,11831.21,293.8,2.64,1.18,159.984,0.159984,Scope 1,Fuel card statement,0.986,0,clean,2024
FC-0006709,Banks Clarke and Stephenson,WEX,Agriculture,Kisumu,WEX-CAR-024,petrol_saloon,petrol,2024-12-23,12,4,Oryx Energies,Kilimani,21.83,213.52,4661.21,231.9,2.311,1.18,50.449,0.050449,Scope 1,Fuel card statement,0.9604,0,clean,2024
FC-0011554,Todd Kirk and Gibson,KXS,Telecommunications,Nairobi,KXS-CAR-017,petrol_saloon,petrol,2024-02-07,2,1,Petrol Plus,Upper Hill,39.38,208.84,8224.03,397.7,2.311,1.18,91.007,0.091007,Scope 1,Fuel card statement,0.9559,0,clean,2024
FC-0007389,Austin-Thompson,DDP,Media,Meru,DDP-SUV-006,petrol_suv,petrol,2024-10-24,10,4,Petrol Plus,Upperhill,58.86,207.38,12206.41,392.7,2.311,1.18,136.025,0.136025,Scope 1,Fuel card statement,0.9432,0,clean,2024
FC-0001437,Ryan Warren and Connolly,WYG,Retail & FMCG,Kakamega,WYG-CAR-012,petrol_saloon,petrol,2024-02-20,2,1,Gulf Energy,Parklands,14.0,207.99,2911.9,148.6,2.311,1.18,32.354,0.032354,Scope 1,Fuel card statement,0.9237,0,clean,2024
FC-0009657,Kemp James and Ellis,LWZ,Banking & Finance,Thika,LWZ-MTR-006,petrol_bike,petrol,2024-12-26,12,4,Petrol Plus,Industrial Area,14.7,210.08,3088.24,349.9,2.296,1.18,33.751,0.033751,Scope 1,Fuel card statement,0.9202,0,clean,2024
FC-0005798,Hunt Hawkins and Humphries,BSC,Construction,Nyeri,BSC-MTR-009,petrol_bike,petrol,2024-07-30,7,3,Galana Oil,Kilimani,14.7,207.46,3049.6,429.8,2.296,1.18,33.751,0.033751,Scope 1,Fuel card statement,0.9634,0,clean,2024
FC-0013722,Ellis-Davies,EYQ,Education,Kilifi,EYQ-CAR-013,petrol_saloon,petrol,2024-04-29,4,2,OiLibya,Westlands,37.75,207.71,7841.09,403.9,2.311,1.18,87.24,0.08724,Scope 1,Fuel card statement,0.981,0,clean,2024
FC-0002594,Dixon Inc,VOQ,Insurance,Kakamega,VOQ-CAR-009,petrol_saloon,petrol,2024-09-23,9,3,Vivo Energy (Shell),Parklands,14.35,218.04,3128.82,144.2,2.311,1.18,33.163,0.033163,Scope 1,Fuel card statement,0.9482,0,clean,2024
FC-0008288,Andrews Inc,SSO,Hospitality,Mombasa,SSO-VAN-007,diesel_van,diesel,2024-06-17,6,2,Oryx Energies,Westlands,34.29,194.05,6653.98,285.9,2.64,1.18,90.526,0.090526,Scope 1,Fuel card statement,0.9436,0,clean,2024
FC-0002134,Willis Mistry and Jones,DOH,Banking & Finance,Meru,DOH-CAR-007,petrol_saloon,petrol,2024-09-25,9,3,Total Kenya,Lavington,6.58,220.77,1452.66,66.8,2.311,1.18,15.206,0.015206,Scope 1,Fuel card statement,0.9195,0,clean,2024
FC-0008455,Mellor PLC,VWU,Real Estate,Kilifi,VWU-BUS-015,diesel_bus,diesel,2024-02-17,2,1,Oryx Energies,CBD,20.66,205.32,4241.81,97.5,2.64,1.18,54.542,0.054542,Scope 1,Fuel card statement,0.9632,0,clean,2024
FC-0002428,Elliott Ltd,WKX,Construction,Meru,WKX-BUS-002,diesel_bus,diesel,2024-06-18,6,2,Rubis Energy,South B,59.34,204.57,12139.12,280.3,2.64,1.18,156.658,0.156658,Scope 1,Fuel card statement,0.9329,0,clean,2024
FC-0010160,Green PLC,UEI,Energy & Petroleum,Kisii,UEI-VAN-004,diesel_van,diesel,2024-01-21,1,1,Vivo Energy (Shell),South B,48.01,204.85,9834.67,383.1,2.64,1.18,126.746,0.126746,Scope 1,Fuel card statement,0.9543,0,clean,2024
FC-0004000,Gibbs LLC,IEI,Real Estate,Eldoret,IEI-CAR-027,petrol_saloon,petrol,2024-12-28,12,4,Galana Oil,Kilimani,40.11,212.91,8539.81,417.9,2.311,1.18,92.694,0.092694,Scope 1,Fuel card statement,0.9281,0,clean,2024
FC-0005705,Kemp-Moore,RXL,Healthcare,Machakos,RXL-TRK-008,diesel_truck,diesel,2024-05-17,5,2,Petrol Plus,CBD,39.34,202.96,7984.35,122.2,2.64,1.18,103.858,0.103858,Scope 1,Fuel card statement,0.9844,0,clean,2024
FC-0014875,Davies-Dixon,MUB,Retail & FMCG,Kilifi,MUB-BUS-011,diesel_bus,diesel,2024-12-10,12,4,OiLibya,Westlands,33.75,199.53,6734.24,165.4,2.64,1.18,89.1,0.0891,Scope 1,Fuel card statement,0.9291,0,clean,2024
FC-0013590,Jones Kaur and Tomlinson,BJD,Insurance,Embu,BJD-SUV-005,petrol_suv,petrol,2024-03-27,3,1,Kenol Kobil,Thika Road,9.64,211.01,2034.16,66.0,2.311,1.18,22.278,0.022278,Scope 1,Fuel card statement,0.9423,0,clean,2024
FC-0002826,Lewis and Sons,IRW,Technology,Kisumu,IRW-MTR-017,petrol_bike,petrol,2024-09-06,9,3,Vivo Energy (Shell),Kilimani,10.45,211.95,2214.92,211.7,2.296,1.18,23.993,0.023993,Scope 1,Fuel card statement,0.919,0,clean,2024
FC-0009166,Hill-Jones,MAN,Manufacturing,Nairobi,MAN-MTR-007,petrol_bike,petrol,2024-07-25,7,3,OiLibya,Thika Road,14.7,209.45,3078.97,450.0,2.296,1.18,33.751,0.033751,Scope 1,Fuel card statement,0.9352,0,clean,2024
FC-0007930,Clarke Morris and Roberts,ASZ,Real Estate,Kisii,ASZ-CNG-015,cng_van,cng,2024-07-21,7,3,Galana Oil,Upperhill,7.0,112.25,785.75,52.1,2.04,1.18,14.28,0.01428,Scope 1,Fuel card statement,0.936,0,clean,2024
FC-0014731,Smith-Begum,BIT,Education,Kisii,BIT-VAN-013,diesel_van,diesel,2024-10-02,10,4,Galana Oil,Westlands,20.65,206.66,4267.57,165.9,2.64,1.18,54.516,0.054516,Scope 1,Fuel card statement,0.9514,0,clean,2024
FC-0004354,Stewart Inc,ITQ,Retail & FMCG,Thika,ITQ-CAR-003,petrol_saloon,petrol,2024-01-30,1,1,Gulf Energy,South B,44.68,208.25,9304.72,444.2,2.311,1.18,103.255,0.103255,Scope 1,Fuel card statement,0.9713,0,clean,2024
FC-0006285,Shaw-James,IGZ,Banking & Finance,Embu,IGZ-VAN-028,diesel_van,diesel,2024-10-26,10,4,Petrol Plus,Thika Road,4.16,204.88,852.3,35.3,2.64,1.18,10.982,0.010982,Scope 1,Fuel card statement,0.9477,0,clean,2024
FC-0011088,Harper Hussain and Thompson,ZAA,Insurance,Kitui,ZAA-MTR-013,petrol_bike,petrol,2024-05-25,5,2,Kenol Kobil,Kilimani,14.7,216.22,3178.49,369.0,2.296,1.18,33.751,0.033751,Scope 1,Fuel card statement,0.9605,0,clean,2024
FC-0014871,Davies-Dixon,MUB,Retail & FMCG,Kilifi,MUB-CAR-016,petrol_saloon,petrol,2024-01-21,1,1,Kenol Kobil,Embakasi,34.39,215.8,7421.34,351.1,2.311,1.18,79.475,0.079475,Scope 1,Fuel card statement,0.9119,0,clean,2024
FC-0012652,Phillips-Scott,QXR,Technology,Kakamega,QXR-4WD-008,petrol_4wd,petrol,2024-08-17,8,3,Gulf Energy,CBD,70.19,216.42,15190.2,426.3,2.64,1.18,185.302,0.185302,Scope 1,Fuel card statement,0.9718,0,clean,2024
FC-0009827,Kemp and Sons,QTD,Healthcare,Kilifi,QTD-CAR-007,petrol_saloon,petrol,2024-05-14,5,2,OiLibya,Gigiri,24.19,210.75,5098.06,255.8,2.311,1.18,55.903,0.055903,Scope 1,Fuel card statement,0.9851,0,clean,2024
FC-0005169,Williamson Fisher and Tyler,NFS,Logistics,Kakamega,NFS-CAR-003,petrol_saloon,petrol,2024-06-19,6,2,Oryx Energies,Runda,41.8,215.35,9001.81,433.8,2.311,1.18,96.6,0.0966,Scope 1,Fuel card statement,0.9883,0,clean,2024
FC-0012232,Ryan-Morris,FZG,Construction,Kakamega,FZG-TRK-015,diesel_truck,diesel,2024-03-21,3,1,OiLibya,Karen,91.28,201.61,18402.95,273.7,2.64,1.18,240.979,0.240979,Scope 1,Fuel card statement,0.9329,0,clean,2024
FC-0003925,Walters-Tucker,SGJ,Construction,Meru,SGJ-VAN-012,diesel_van,diesel,2024-10-11,10,4,Petrol Plus,Upperhill,9.33,198.42,1851.23,75.7,2.64,1.18,24.631,0.024631,Scope 1,Fuel card statement,0.9729,0,clean,2024
FC-0013524,Shaw Taylor and Gallagher,ZUB,Telecommunications,Embu,ZUB-MTR-003,petrol_bike,petrol,2024-01-27,1,1,Gulf Energy,Lavington,12.98,216.84,2814.65,276.2,2.296,1.18,29.802,0.029802,Scope 1,Fuel card statement,0.9794,0,clean,2024
FC-0013358,Collier Bolton and Winter,PNS,Hospitality,Thika,PNS-SUV-002,petrol_suv,petrol,2024-10-28,10,4,Kenol Kobil,Embakasi,50.54,218.41,11038.41,350.0,2.311,1.18,116.798,0.116798,Scope 1,Fuel card statement,0.9681,0,clean,2024
FC-0009345,Fletcher-Lloyd,DKL,Media,Meru,DKL-TRK-012,diesel_truck,diesel,2024-04-01,4,2,Kenol Kobil,Thika Road,77.24,197.7,15270.31,244.1,2.64,1.18,203.914,0.203914,Scope 1,Fuel card statement,0.9827,0,clean,2024
FC-0007752,Cameron Smith and Lloyd,USY,Manufacturing,Eldoret,USY-SUV-008,petrol_suv,petrol,2024-07-07,7,3,Kenol Kobil,CBD,38.98,213.19,8310.05,255.9,2.311,1.18,90.083,0.090083,Scope 1,Fuel card statement,0.9419,0,clean,2024
FC-0004136,Kennedy PLC,VHX,Manufacturing,Thika,VHX-4WD-003,petrol_4wd,petrol,2024-03-03,3,1,Galana Oil,Industrial Area,6.66,216.28,1440.42,41.7,2.64,1.18,17.582,0.017582,Scope 1,Fuel card statement,0.9374,0,clean,2024
FC-0007209,Burgess Connolly and Butler,MNA,Media,Kakamega,MNA-CAR-002,petrol_saloon,petrol,2024-12-06,12,4,Gulf Energy,CBD,42.22,216.32,9132.85,424.2,2.311,1.18,97.57,0.09757,Scope 1,Fuel card statement,0.9594,0,clean,2024
FC-0012882,Moore Davies and Smith,TOT,Media,Garissa,TOT-4WD-004,petrol_4wd,petrol,2024-07-27,7,3,Total Kenya,Thika Road,21.38,213.04,4554.71,128.4,2.64,1.18,56.443,0.056443,Scope 1,Fuel card statement,0.9692,0,clean,2024
FC-0006986,Gough Kirby and Quinn,FMW,Hospitality,Nairobi,FMW-SUV-018,petrol_suv,petrol,2024-03-21,3,1,Rubis Energy,Eastleigh,49.82,215.8,10751.14,337.1,2.311,1.18,115.134,0.115134,Scope 1,Fuel card statement,0.9428,0,clean,2024
FC-0007381,Austin-Thompson,DDP,Media,Meru,DDP-CAR-003,petrol_saloon,petrol,2024-12-13,12,4,Oryx Energies,South B,12.42,219.61,2727.49,129.5,2.311,1.18,28.703,0.028703,Scope 1,Fuel card statement,0.9774,0,clean,2024
FC-0008297,Andrews Inc,SSO,Hospitality,Mombasa,SSO-4WD-004,petrol_4wd,petrol,2024-08-11,8,3,Total Kenya,CBD,66.26,216.81,14366.02,390.8,2.64,1.18,174.926,0.174926,Scope 1,Fuel card statement,0.94,0,clean,2024
FC-0013936,Chandler-Rose,EVZ,Construction,Nakuru,EVZ-CAR-027,petrol_saloon,petrol,2024-09-20,9,3,Oryx Energies,Karen,39.6,209.5,8296.21,398.2,2.311,1.18,91.516,0.091516,Scope 1,Fuel card statement,0.979,0,clean,2024
FC-0001096,Hodgson Ahmed and Higgins,NID,Manufacturing,Nyeri,NID-MTR-003,petrol_bike,petrol,2024-03-24,3,1,OiLibya,Thika Road,4.14,211.74,876.59,89.7,2.296,1.18,9.505,0.009505,Scope 1,Fuel card statement,0.9856,0,clean,2024
FC-0013484,Read Woods and Warren,FIM,Healthcare,Mombasa,FIM-TRK-002,diesel_truck,diesel,2024-04-17,4,2,OiLibya,Westlands,46.98,195.29,9174.85,145.3,2.64,1.18,124.027,0.124027,Scope 1,Fuel card statement,0.9403,0,clean,2024
FC-0010358,White and Sons,SJZ,Agriculture,Machakos,SJZ-4WD-002,petrol_4wd,petrol,2024-06-23,6,2,OiLibya,Upper Hill,6.03,219.25,1322.1,34.8,2.64,1.18,15.919,0.015919,Scope 1,Fuel card statement,0.9135,0,clean,2024
FC-0013802,McDonald Lewis and Dobson,CRW,Education,Thika,CRW-SUV-010,petrol_suv,petrol,2024-09-10,9,3,OiLibya,CBD,23.98,217.53,5216.47,158.0,2.311,1.18,55.418,0.055418,Scope 1,Fuel card statement,0.9874,0,clean,2024
FC-0005605,Evans-Walker,VKM,Construction,Eldoret,VKM-TRK-016,diesel_truck,diesel,2024-03-01,3,1,Oryx Energies,Upper Hill,107.73,205.93,22184.61,336.6,2.64,1.18,284.407,0.284407,Scope 1,Fuel card statement,0.9362,0,clean,2024
FC-0006446,Clayton Johnston and John,BIJ,Retail & FMCG,Nakuru,BIJ-SUV-001,petrol_suv,petrol,2024-06-21,6,2,Petrol Plus,Eastleigh,14.54,210.89,3066.29,97.7,2.311,1.18,33.602,0.033602,Scope 1,Fuel card statement,0.9889,0,clean,2024
FC-0002642,Bell Day and Martin,PJJ,Media,Mombasa,PJJ-TRK-003,diesel_truck,diesel,2024-07-04,7,3,Galana Oil,Upperhill,109.66,200.45,21981.7,330.4,2.64,1.18,289.502,0.289502,Scope 1,Fuel card statement,0.9479,0,clean,2024
FC-0001195,Allan Scott and Johnson,GCD,Logistics,Meru,GCD-TRK-023,diesel_truck,diesel,2024-03-31,3,1,Total Kenya,Thika Road,142.85,195.44,27918.64,441.0,2.64,1.18,377.124,0.377124,Scope 1,Fuel card statement,0.9505,0,clean,2024
FC-0009847,Kemp and Sons,QTD,Healthcare,Kilifi,QTD-TRK-023,diesel_truck,diesel,2024-10-20,10,4,Oryx Energies,Thika Road,104.83,202.76,21254.82,313.4,2.64,1.18,276.751,0.276751,Scope 1,Fuel card statement,0.9305,0,clean,2024
FC-0009561,Harvey-Holland,XWM,Agriculture,Eldoret,XWM-VAN-026,diesel_van,diesel,2024-08-28,8,3,Oryx Energies,Thika Road,44.18,198.04,8749.46,350.0,2.64,1.18,116.635,0.116635,Scope 1,Fuel card statement,0.9681,0,clean,2024
FC-0003168,Griffiths James and Morris,ULJ,Construction,Nakuru,ULJ-CAR-008,petrol_saloon,petrol,2024-02-03,2,1,Galana Oil,Parklands,11.27,206.88,2331.54,119.2,2.311,1.18,26.045,0.026045,Scope 1,Fuel card statement,0.9435,0,clean,2024
FC-0007034,Wilson Robinson and Walker,CIP,Hospitality,Embu,CIP-BUS-004,diesel_bus,diesel,2024-03-29,3,1,Petrol Plus,Eastleigh,79.72,197.0,15705.15,374.3,2.64,1.18,210.461,0.210461,Scope 1,Fuel card statement,0.9632,0,clean,2024
FC-0002535,Evans-Wheeler,PQC,Energy & Petroleum,Kilifi,PQC-LPG-008,lpg_van,lpg,2024-07-05,7,3,OiLibya,Karen,62.61,148.23,9280.49,428.9,1.63,1.18,102.054,0.102054,Scope 1,Fuel card statement,0.9356,0,clean,2024
FC-0002299,Taylor Craig and Matthews,MUS,Banking & Finance,Garissa,MUS-BUS-008,diesel_bus,diesel,2024-01-15,1,1,Total Kenya,Thika Road,7.76,201.23,1561.56,36.8,2.64,1.18,20.486,0.020486,Scope 1,Fuel card statement,0.9546,0,clean,2024
FC-0010301,Power-Clark,NSQ,Logistics,Nakuru,NSQ-VAN-004,diesel_van,diesel,2024-03-25,3,1,Oryx Energies,Westlands,29.43,196.08,5770.68,249.9,2.64,1.18,77.695,0.077695,Scope 1,Fuel card statement,0.9728,0,clean,2024
FC-0009049,Morgan Ltd,QTA,Retail & FMCG,Eldoret,QTA-CAR-012,petrol_saloon,petrol,2024-05-08,5,2,Gulf Energy,Parklands,22.61,207.46,4690.63,225.2,2.311,1.18,52.252,0.052252,Scope 1,Fuel card statement,0.9158,0,clean,2024
FC-0003401,Smith-Williamson,QQK,Healthcare,Thika,QQK-CAR-014,petrol_saloon,petrol,2024-07-13,7,3,Gulf Energy,Lavington,5.08,210.68,1070.25,52.9,2.311,1.18,11.74,0.01174,Scope 1,Fuel card statement,0.9555,0,clean,2024
FC-0014601,Dixon-Goddard,BFN,Telecommunications,Kilifi,BFN-SUV-025,petrol_suv,petrol,2024-10-10,10,4,Oryx Energies,Embakasi,60.12,216.9,13039.94,418.1,2.311,1.18,138.937,0.138937,Scope 1,Fuel card statement,0.966,0,clean,2024
FC-0000378,Andrews Edwards and George,RYN,Logistics,Kitui,RYN-MTR-002,petrol_bike,petrol,2024-11-29,11,4,OiLibya,Gigiri,9.35,219.61,2053.35,207.6,2.296,1.18,21.468,0.021468,Scope 1,Fuel card statement,0.9325,0,clean,2024
FC-0001539,Jones Davison and Edwards,IMJ,Logistics,Nakuru,IMJ-4WD-005,petrol_4wd,petrol,2024-12-08,12,4,Total Kenya,Runda,55.32,217.97,12058.34,335.5,2.64,1.18,146.045,0.146045,Scope 1,Fuel card statement,0.9899,0,clean,2024
FC-0011790,Graham Group,ZOY,Healthcare,Kitui,ZOY-SUV-010,petrol_suv,petrol,2024-04-11,4,2,Rubis Energy,Industrial Area,6.92,207.7,1437.31,45.1,2.311,1.18,15.992,0.015992,Scope 1,Fuel card statement,0.9633,0,clean,2024
FC-0009523,Andrews-Phillips,PRA,Manufacturing,Nairobi,PRA-CAR-022,petrol_saloon,petrol,2024-05-02,5,2,Vivo Energy (Shell),Upperhill,7.77,212.53,1651.37,83.4,2.311,1.18,17.956,0.017956,Scope 1,Fuel card statement,0.9128,0,clean,2024
FC-0007859,Watkins Davies and Browne,JOU,Real Estate,Meru,JOU-SUV-011,petrol_suv,petrol,2024-12-11,12,4,OiLibya,Parklands,44.49,206.91,9205.61,313.4,2.311,1.18,102.816,0.102816,Scope 1,Fuel card statement,0.9479,0,clean,2024
FC-0009521,Andrews-Phillips,PRA,Manufacturing,Nairobi,PRA-CAR-032,petrol_saloon,petrol,2024-02-14,2,1,Oryx Energies,Parklands,24.99,218.59,5462.57,267.4,2.311,1.18,57.752,0.057752,Scope 1,Fuel card statement,0.9766,0,clean,2024
FC-0009214,Atkins-Williams,CUT,Agriculture,Machakos,CUT-CAR-004,petrol_saloon,petrol,2024-01-04,1,1,Oryx Energies,Eastleigh,36.94,216.22,7987.22,378.5,2.311,1.18,85.368,0.085368,Scope 1,Fuel card statement,0.9668,0,clean,2024
FC-0012517,Powell-Moore,BQR,Healthcare,Kitui,BQR-SUV-004,petrol_suv,petrol,2024-10-20,10,4,OiLibya,Thika Road,7.92,220.49,1746.31,52.9,2.311,1.18,18.303,0.018303,Scope 1,Fuel card statement,0.9572,0,clean,2024
FC-0008394,Thompson Ali and Bond,CRB,Manufacturing,Nyeri,CRB-SUV-007,petrol_suv,petrol,2024-02-10,2,1,Vivo Energy (Shell),Upper Hill,7.08,207.66,1470.21,48.5,2.311,1.18,16.362,0.016362,Scope 1,Fuel card statement,0.9236,0,clean,2024
FC-0010886,Brown and Sons,JDS,Media,Thika,JDS-CAR-021,petrol_saloon,petrol,2024-08-22,8,3,Oryx Energies,Industrial Area,15.08,216.08,3258.5,162.5,2.311,1.18,34.85,0.03485,Scope 1,Fuel card statement,0.9146,0,clean,2024
FC-0002019,Martin Group,CBO,Technology,Machakos,CBO-CAR-003,petrol_saloon,petrol,2024-03-13,3,1,Oryx Energies,Embakasi,5.59,216.17,1208.4,56.5,2.311,1.18,12.918,0.012918,Scope 1,Fuel card statement,0.9853,0,clean,2024
FC-0002898,Ashton Group,GHH,Media,Meru,GHH-4WD-014,petrol_4wd,petrol,2024-10-23,10,4,Total Kenya,Lavington,12.46,220.89,2752.32,78.5,2.64,1.18,32.894,0.032894,Scope 1,Fuel card statement,0.9267,0,clean,2024
FC-0006862,Kirk Edwards and Shaw,KLP,Logistics,Nyeri,KLP-VAN-009,diesel_van,diesel,2024-10-18,10,4,Oryx Energies,Runda,34.48,204.62,7055.26,265.1,2.64,1.18,91.027,0.091027,Scope 1,Fuel card statement,0.9489,0,clean,2024
FC-0010377,White and Sons,SJZ,Agriculture,Machakos,SJZ-CAR-013,petrol_saloon,petrol,2024-03-30,3,1,Galana Oil,Karen,28.13,216.15,6080.4,302.4,2.311,1.18,65.008,0.065008,Scope 1,Fuel card statement,0.9441,0,clean,2024
FC-0001441,Charlton Ltd,LLI,Hospitality,Kitui,LLI-TRK-013,diesel_truck,diesel,2024-01-23,1,1,Kenol Kobil,Gigiri,77.87,207.2,16134.56,225.1,2.64,1.18,205.577,0.205577,Scope 1,Fuel card statement,0.9534,0,clean,2024
FC-0002092,Wall and Sons,SNJ,Retail & FMCG,Nairobi,SNJ-TRK-007,diesel_truck,diesel,2024-01-02,1,1,Petrol Plus,Eastleigh,148.92,197.84,29462.97,445.5,2.64,1.18,393.149,0.393149,Scope 1,Fuel card statement,0.9208,0,clean,2024
FC-0011733,Begum Scott and Waters,MOT,Agriculture,Nairobi,MOT-SUV-004,petrol_suv,petrol,2024-06-16,6,2,OiLibya,Thika Road,38.58,217.5,8391.02,266.6,2.311,1.18,89.158,0.089158,Scope 1,Fuel card statement,0.9266,0,clean,2024
