id,vehicle_id,inspection_date,inspector_id,inspection_type,roadworthiness_score,safety_score,emissions_score,overall_rating,violations_found,recommendations,next_inspection_date,created_at
14,8,2025-01-08T03:49:52.668306,NTSA-4264,annual,74.8,80.7,93.8,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-07-12T03:49:52.668306,2026-04-19T03:49:52.668343
15,8,2023-05-23T03:49:52.668349,NTSA-2826,annual,81.9,96.4,97.5,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2023-12-07T03:49:52.668349,2026-04-19T03:49:52.668385
16,9,2025-07-11T03:49:52.668396,NTSA-5400,annual,62.7,91.5,48.5,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-06-29T03:49:52.668396,2026-04-19T03:49:52.668440
17,9,2024-12-29T03:49:52.668445,NTSA-5468,quarterly,68.3,77.4,63.9,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-11-21T03:49:52.668445,2026-04-19T03:49:52.668485
18,10,2026-01-19T03:49:52.668499,NTSA-2259,quarterly,61.9,60.8,83.2,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2027-01-05T03:49:52.668499,2026-04-19T03:49:52.668541
19,10,2024-08-13T03:49:52.668549,NTSA-6321,quarterly,98.4,86.7,83.4,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-05-03T03:49:52.668549,2026-04-19T03:49:52.668588
20,10,2025-11-08T03:49:52.668594,NTSA-1984,annual,71.5,68.3,75.3,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-10-17T03:49:52.668594,2026-04-19T03:49:52.668635
21,11,2025-11-13T03:49:52.668646,NTSA-3541,quarterly,98.0,89.0,67.6,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-08-04T03:49:52.668646,2026-04-19T03:49:52.668697
22,11,2024-06-16T03:49:52.668704,NTSA-8788,quarterly,64.6,70.8,63.5,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-05-22T03:49:52.668704,2026-04-19T03:49:52.668745
23,11,2025-01-12T03:49:52.668751,NTSA-4022,annual,74.1,84.2,99.8,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-12-17T03:49:52.668751,2026-04-19T03:49:52.668787
24,11,2024-06-04T03:49:52.668793,NTSA-9495,quarterly,61.3,88.0,67.7,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-01-05T03:49:52.668793,2026-04-19T03:49:52.668832
25,12,2026-03-08T03:49:52.668844,NTSA-8310,quarterly,99.4,70.5,45.1,Conditional,"[""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-10-17T03:49:52.668844,2026-04-19T03:49:52.668882
26,12,2024-12-17T03:49:52.668887,NTSA-1628,special,77.5,96.0,45.6,Conditional,"[""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-11-12T03:49:52.668887,2026-04-19T03:49:52.668925
27,12,2024-06-10T03:49:52.668932,NTSA-6501,quarterly,63.4,61.3,94.2,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2024-12-11T03:49:52.668932,2026-04-19T03:49:52.668972
28,12,2025-11-10T03:49:52.668982,NTSA-4542,annual,62.9,54.2,62.6,Fail,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-07-14T03:49:52.668982,2026-04-19T03:49:52.669022
29,13,2025-05-26T03:49:52.669034,NTSA-7151,special,81.4,57.3,86.5,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-02-28T03:49:52.669034,2026-04-19T03:49:52.669074
30,13,2025-06-29T03:49:52.669080,NTSA-9818,special,98.2,90.6,64.7,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-01-21T03:49:52.669080,2026-04-19T03:49:52.669117
31,14,2026-03-17T03:49:52.669128,NTSA-8049,annual,87.4,54.1,89.6,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2027-01-02T03:49:52.669128,2026-04-19T03:49:52.669166
32,14,2024-12-01T03:49:52.669171,NTSA-3473,annual,80.6,52.9,53.1,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-07-15T03:49:52.669171,2026-04-19T03:49:52.669216
33,14,2025-01-12T03:49:52.669221,NTSA-2106,quarterly,93.2,61.9,86.1,Pass,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-12-14T03:49:52.669221,2026-04-19T03:49:52.669257
34,15,2025-04-27T03:49:52.669269,NTSA-5470,annual,98.8,55.5,79.1,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-12-24T03:49:52.669269,2026-04-19T03:49:52.669317
35,15,2025-11-18T03:49:52.669323,NTSA-2809,annual,93.7,52.7,98.4,Pass,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-07-29T03:49:52.669323,2026-04-19T03:49:52.669360
36,16,2026-02-11T03:49:52.669371,NTSA-4401,special,67.8,52.9,64.4,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-09-02T03:49:52.669371,2026-04-19T03:49:52.669416
37,17,2025-05-10T03:49:52.669425,NTSA-4092,annual,94.7,86.6,67.3,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-12-14T03:49:52.669425,2026-04-19T03:49:52.669464
38,17,2025-06-29T03:49:52.669473,NTSA-5829,quarterly,78.2,57.3,45.7,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-05-25T03:49:52.669473,2026-04-19T03:49:52.669512
39,17,2023-06-04T03:49:52.669517,NTSA-2586,special,97.3,60.2,68.3,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2024-01-29T03:49:52.669517,2026-04-19T03:49:52.669554
40,18,2025-06-02T03:49:52.669565,NTSA-5024,special,80.0,90.6,91.1,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-02-28T03:49:52.669565,2026-04-19T03:49:52.669601
41,19,2025-08-09T03:49:52.669611,NTSA-6489,special,84.9,77.5,89.2,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-02-10T03:49:52.669611,2026-04-19T03:49:52.669863
42,19,2024-09-16T03:49:52.669870,NTSA-2209,quarterly,62.5,76.4,42.6,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-07-06T03:49:52.669870,2026-04-19T03:49:52.669926
43,20,2025-09-28T03:49:52.669938,NTSA-1164,special,99.6,55.7,50.3,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-04-28T03:49:52.669938,2026-04-19T03:49:52.669979
44,21,2025-09-02T03:49:52.669988,NTSA-6049,special,60.3,82.3,50.5,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-03-04T03:49:52.669988,2026-04-19T03:49:52.670025
45,21,2025-01-30T03:49:52.670031,NTSA-3262,annual,64.4,57.8,81.7,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-01-01T03:49:52.670031,2026-04-19T03:49:52.670069
46,21,2024-12-19T03:49:52.670074,NTSA-6518,quarterly,67.0,85.8,81.3,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-07-31T03:49:52.670074,2026-04-19T03:49:52.670112
47,21,2024-12-13T03:49:52.670116,NTSA-7942,annual,64.0,84.9,45.4,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-10-21T03:49:52.670116,2026-04-19T03:49:52.670152
48,22,2025-05-11T03:49:52.670171,NTSA-4946,annual,89.5,90.4,86.0,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-03-24T03:49:52.670171,2026-04-19T03:49:52.670209
49,22,2025-02-05T03:49:52.670215,NTSA-8642,annual,76.7,90.5,64.1,Conditional,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-11-04T03:49:52.670215,2026-04-19T03:49:52.670260
50,23,2025-09-01T03:49:52.670272,NTSA-7362,annual,94.3,97.3,92.7,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-03-17T03:49:52.670272,2026-04-19T03:49:52.670313
51,23,2026-02-16T03:49:52.670318,NTSA-4429,quarterly,85.6,57.8,59.1,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-09-07T03:49:52.670318,2026-04-19T03:49:52.670356
52,23,2025-10-03T03:49:52.670361,NTSA-5964,quarterly,76.1,86.8,71.2,Conditional,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-08-30T03:49:52.670361,2026-04-19T03:49:52.670398
53,23,2023-09-02T03:49:52.670403,NTSA-9727,quarterly,75.9,50.1,83.0,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2024-05-22T03:49:52.670403,2026-04-19T03:49:52.670439
54,24,2025-06-05T03:49:52.670451,NTSA-9411,quarterly,63.0,64.8,60.3,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-04-08T03:49:52.670451,2026-04-19T03:49:52.670503
55,24,2025-11-22T03:49:52.670510,NTSA-6074,quarterly,67.3,73.0,84.3,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-09-29T03:49:52.670510,2026-04-19T03:49:52.670566
56,25,2025-08-24T03:49:52.670581,NTSA-4771,special,83.7,53.9,66.7,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-05-25T03:49:52.670581,2026-04-19T03:49:52.670636
57,26,2025-05-24T03:49:52.670649,NTSA-1947,annual,89.7,72.6,73.5,Conditional,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-05-18T03:49:52.670649,2026-04-19T03:49:52.670699
58,27,2025-11-10T03:49:52.670721,NTSA-4388,annual,83.8,95.3,49.4,Conditional,"[""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-06-10T03:49:52.670721,2026-04-19T03:49:52.670785
59,28,2025-06-30T03:49:52.670797,NTSA-9502,annual,83.1,88.3,48.5,Conditional,"[""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-02-21T03:49:52.670797,2026-04-19T03:49:52.670853
60,28,2025-03-03T03:49:52.670863,NTSA-6101,annual,90.0,62.0,65.3,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-09-09T03:49:52.670863,2026-04-19T03:49:52.670935
61,28,2024-03-09T03:49:52.670942,NTSA-8210,special,97.2,75.2,40.7,Conditional,"[""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2024-11-09T03:49:52.670942,2026-04-19T03:49:52.670995
62,29,2025-10-09T03:49:52.671012,NTSA-3526,special,66.2,99.3,47.8,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-09-05T03:49:52.671012,2026-04-19T03:49:52.671059
63,29,2025-07-11T03:49:52.671067,NTSA-1407,special,73.1,89.9,46.2,Conditional,"[""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-01-16T03:49:52.671067,2026-04-19T03:49:52.671124
64,29,2023-11-04T03:49:52.671140,NTSA-8872,special,72.4,81.6,45.8,Conditional,"[""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2024-10-23T03:49:52.671140,2026-04-19T03:49:52.671205
65,30,2026-02-17T03:49:52.671401,NTSA-9085,special,85.1,89.6,55.6,Conditional,"[""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2027-02-01T03:49:52.671401,2026-04-19T03:49:52.671471
66,31,2025-07-04T03:49:52.671481,NTSA-3515,special,97.2,64.9,42.3,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-06-11T03:49:52.671481,2026-04-19T03:49:52.671526
67,31,2024-12-01T03:49:52.671532,NTSA-7302,quarterly,76.9,71.9,40.7,Conditional,"[""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-11-28T03:49:52.671532,2026-04-19T03:49:52.671569
68,31,2023-09-11T03:49:52.671577,NTSA-4726,special,88.1,87.1,69.4,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2024-03-28T03:49:52.671577,2026-04-19T03:49:52.671615
69,32,2025-10-02T03:49:52.671628,NTSA-1020,quarterly,94.1,68.6,74.4,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-08-18T03:49:52.671628,2026-04-19T03:49:52.671670
70,32,2025-12-14T03:49:52.671676,NTSA-6088,special,73.1,63.5,93.0,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-10-25T03:49:52.671676,2026-04-19T03:49:52.671729
71,32,2025-07-02T03:49:52.671735,NTSA-2584,quarterly,76.3,56.9,81.2,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-01-15T03:49:52.671735,2026-04-19T03:49:52.671778
72,32,2023-12-03T03:49:52.671784,NTSA-9385,annual,96.7,75.9,71.6,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2024-07-06T03:49:52.671784,2026-04-19T03:49:52.671825
73,33,2025-07-16T03:49:52.671838,NTSA-9140,quarterly,96.2,86.8,57.8,Pass,"[""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-07-09T03:49:52.671838,2026-04-19T03:49:52.671884
74,33,2024-08-31T03:49:52.671890,NTSA-4979,special,85.5,68.0,70.9,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-04-18T03:49:52.671890,2026-04-19T03:49:52.671927
75,33,2024-09-08T03:49:52.671933,NTSA-5857,quarterly,75.6,51.9,44.4,Fail,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-05-20T03:49:52.671933,2026-04-19T03:49:52.671977
76,33,2023-04-03T03:49:52.671982,NTSA-8210,special,68.3,54.1,57.1,Fail,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2024-01-13T03:49:52.671982,2026-04-19T03:49:52.672026
77,34,2026-02-04T03:49:52.672042,NTSA-2445,annual,95.8,78.4,57.2,Conditional,"[""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-12-13T03:49:52.672042,2026-04-19T03:49:52.672082
78,34,2024-12-29T03:49:52.672093,NTSA-7646,special,70.5,93.7,86.4,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-10-29T03:49:52.672093,2026-04-19T03:49:52.672135
79,34,2026-01-07T03:49:52.672140,NTSA-6698,special,78.2,52.3,75.5,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-09-21T03:49:52.672140,2026-04-19T03:49:52.672176
80,34,2025-02-23T03:49:52.672181,NTSA-6334,annual,73.1,96.3,61.2,Conditional,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-09-02T03:49:52.672181,2026-04-19T03:49:52.672220
81,35,2025-07-17T03:49:52.672233,NTSA-9178,special,72.6,56.5,97.9,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-04-29T03:49:52.672233,2026-04-19T03:49:52.672273
82,35,2024-05-25T03:49:52.672279,NTSA-5216,annual,92.4,77.0,90.9,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-01-19T03:49:52.672279,2026-04-19T03:49:52.672317
83,36,2026-02-19T03:49:52.672328,NTSA-4835,annual,90.8,88.8,98.5,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-12-22T03:49:52.672328,2026-04-19T03:49:52.672367
84,37,2025-04-26T03:49:52.672377,NTSA-5538,special,93.0,57.2,87.1,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-04-14T03:49:52.672377,2026-04-19T03:49:52.672417
85,38,2025-09-03T03:49:52.672427,NTSA-5116,annual,62.5,55.5,89.3,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-03-22T03:49:52.672427,2026-04-19T03:49:52.672468
86,38,2024-08-01T03:49:52.672475,NTSA-9976,quarterly,88.4,90.8,83.6,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-03-21T03:49:52.672475,2026-04-19T03:49:52.672528
87,38,2023-10-11T03:49:52.672534,NTSA-5384,quarterly,74.9,73.3,97.7,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2024-04-18T03:49:52.672534,2026-04-19T03:49:52.672572
88,38,2025-03-11T03:49:52.672582,NTSA-6584,annual,64.5,82.2,96.8,Pass,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-02-27T03:49:52.672582,2026-04-19T03:49:52.672621
89,39,2025-09-05T03:49:52.672633,NTSA-9490,quarterly,69.0,79.3,57.3,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-07-25T03:49:52.672633,2026-04-19T03:49:52.672677
90,39,2025-07-01T03:49:52.672683,NTSA-5459,quarterly,78.2,78.7,40.6,Conditional,"[""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-06-27T03:49:52.672683,2026-04-19T03:49:52.672721
91,39,2025-06-02T03:49:52.672727,NTSA-4621,annual,65.8,91.3,62.2,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-12-06T03:49:52.672727,2026-04-19T03:49:52.672765
92,39,2023-04-19T03:49:52.672771,NTSA-3980,special,67.4,63.2,49.4,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2024-03-02T03:49:52.672771,2026-04-19T03:49:52.672813
93,40,2025-10-24T03:49:52.672829,NTSA-6640,quarterly,72.9,94.3,83.7,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-06-15T03:49:52.672829,2026-04-19T03:49:52.672873
94,40,2025-11-02T03:49:52.672879,NTSA-3358,annual,92.4,94.3,90.1,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-08-16T03:49:52.672879,2026-04-19T03:49:52.672916
95,40,2025-05-09T03:49:52.672922,NTSA-1817,quarterly,91.3,55.2,69.3,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-03-05T03:49:52.672922,2026-04-19T03:49:52.672975
96,40,2023-04-19T03:49:52.672981,NTSA-7137,annual,67.0,90.2,87.1,Pass,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2024-02-14T03:49:52.672981,2026-04-19T03:49:52.673026
97,41,2025-12-27T03:49:52.673042,NTSA-2503,quarterly,95.2,86.2,83.4,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-11-08T03:49:52.673042,2026-04-19T03:49:52.673086
