narrative_id,company_name,nse_code,sector,fy_year,scope1_tco2e,total_tco2e,intensity,uncertainty_pct,scope1_narrative,intensity_narrative,uncertainty_narrative,recommendation_narrative,full_narrative
NAR-000998,Bell-Jackson,TAX,Technology,2024,21076.29,28604.63,0.2498,4.31,"Direct fleet emissions totalled 21076 tCO2e in FY2024, representing 74% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout.","Emission intensity was 0.250 tCO2e per KSh million revenue, compared to a sector median of 0.903.","The 95% confidence interval on the total emission figure is ±4.3%, yielding a range of 27372–29837 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.",Replacing 43% of short-haul business flights with video conferencing would reduce Scope 3 Cat 6 emissions by approximately 1722 tCO2e per year.,"Direct fleet emissions totalled 21076 tCO2e in FY2024, representing 74% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout. Emission intensity was 0.250 tCO2e per KSh million revenue, compared to a sector median of 0.903. The 95% confidence interval on the total emission figure is ±4.3%, yielding a range of 27372–29837 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. Replacing 43% of short-haul business flights with video conferencing would reduce Scope 3 Cat 6 emissions by approximately 1722 tCO2e per year."
NAR-000991,Cole Ltd,SVM,Construction,2024,21830.37,35527.12,0.3218,3.74,"The company's 53 owned and leased vehicles produced 21830 tCO2e in Scope 1, computed at Tier 2 using vehicle-class-specific DEFRA 2024 emission factors with the Kenya NTSA road adjustment.","Emission intensity was 0.322 tCO2e per KSh million revenue, compared to a sector median of 0.903.","The 95% confidence interval on the total emission figure is ±3.7%, yielding a range of 34198–36856 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.","Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 50%, saving 2487 tCO2e annually at KSh 6480/t avoided.","The company's 53 owned and leased vehicles produced 21830 tCO2e in Scope 1, computed at Tier 2 using vehicle-class-specific DEFRA 2024 emission factors with the Kenya NTSA road adjustment. Emission intensity was 0.322 tCO2e per KSh million revenue, compared to a sector median of 0.903. The 95% confidence interval on the total emission figure is ±3.7%, yielding a range of 34198–36856 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 50%, saving 2487 tCO2e annually at KSh 6480/t avoided."
NAR-000104,Green-Clayton,YEA,Real Estate,2024,6990.03,9982.99,0.149,6.09,Fleet combustion across 292 vehicles contributed 6990 tCO2e to Scope 1 in FY2024. All calculations apply DEFRA 2024 Tier 2 factors and the Kenya-specific +18% road condition adjustment from NTSA fleet data.,"Emission intensity was 0.149 tCO2e per KSh million revenue, compared to a sector median of 0.903.","The 95% confidence interval on the total emission figure is ±6.1%, yielding a range of 9375–10591 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.","Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 33%, saving 461 tCO2e annually at KSh 9506/t avoided.","Fleet combustion across 292 vehicles contributed 6990 tCO2e to Scope 1 in FY2024. All calculations apply DEFRA 2024 Tier 2 factors and the Kenya-specific +18% road condition adjustment from NTSA fleet data. Emission intensity was 0.149 tCO2e per KSh million revenue, compared to a sector median of 0.903. The 95% confidence interval on the total emission figure is ±6.1%, yielding a range of 9375–10591 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 33%, saving 461 tCO2e annually at KSh 9506/t avoided."
NAR-000935,Williams Storey and Rogers,JJE,Insurance,2024,10100.88,15113.85,0.8401,2.54,"Scope 1 transport emissions for FY2024 stand at 10101 tCO2e, driven primarily by petrol and diesel consumption. The KETRACO grid factor of 0.392 kgCO2e/kWh was applied to all EV charging within the fleet.","The company achieved an emission intensity of 0.840 tCO2e/KSh M, a reduction of 1.9% versus FY2023.","The reported figure of 15114 tCO2e carries an uncertainty of ±2.5% at 95% confidence, reflecting emission factor, activity data, and road adjustment variance.",A remote-work policy covering 46% of office-based staff is projected to reduce Scope 3 Cat 7 commute emissions by 973 tCO2e per year.,"Scope 1 transport emissions for FY2024 stand at 10101 tCO2e, driven primarily by petrol and diesel consumption. The KETRACO grid factor of 0.392 kgCO2e/kWh was applied to all EV charging within the fleet. The company achieved an emission intensity of 0.840 tCO2e/KSh M, a reduction of 1.9% versus FY2023. The reported figure of 15114 tCO2e carries an uncertainty of ±2.5% at 95% confidence, reflecting emission factor, activity data, and road adjustment variance. A remote-work policy covering 46% of office-based staff is projected to reduce Scope 3 Cat 7 commute emissions by 973 tCO2e per year."
NAR-000002,Pearce-Turner,VPM,Telecommunications,2024,21703.23,31805.91,0.505,5.93,Fleet combustion across 191 vehicles contributed 21703 tCO2e to Scope 1 in FY2024. All calculations apply DEFRA 2024 Tier 2 factors and the Kenya-specific +18% road condition adjustment from NTSA fleet data.,"Intensity improved from 0.512 to 0.505 tCO2e/KSh M between FY2023 and FY2024, a 1.5% increase.","Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 29920–33692 tCO2e (±5.9%).",A remote-work policy covering 48% of office-based staff is projected to reduce Scope 3 Cat 7 commute emissions by 2137 tCO2e per year.,"Fleet combustion across 191 vehicles contributed 21703 tCO2e to Scope 1 in FY2024. All calculations apply DEFRA 2024 Tier 2 factors and the Kenya-specific +18% road condition adjustment from NTSA fleet data. Intensity improved from 0.512 to 0.505 tCO2e/KSh M between FY2023 and FY2024, a 1.5% increase. Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 29920–33692 tCO2e (±5.9%). A remote-work policy covering 48% of office-based staff is projected to reduce Scope 3 Cat 7 commute emissions by 2137 tCO2e per year."
NAR-000432,Berry-Jones,TFM,Healthcare,2024,17297.03,25922.0,0.4219,5.31,"Scope 1 emissions of 17297 tCO2e arise from direct combustion of petrol and diesel in the company's 108 vehicle fleet, calculated using DEFRA 2024 factors at Tier 2, adjusted for Kenyan road conditions (+18% per NTSA data).","Intensity improved from 0.430 to 0.422 tCO2e/KSh M between FY2023 and FY2024, a 2.0% increase.","The 95% confidence interval on the total emission figure is ±5.3%, yielding a range of 24546–27298 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.",Transitioning 43% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 1561 tCO2e annually at approximately KSh 9015 per tonne avoided.,"Scope 1 emissions of 17297 tCO2e arise from direct combustion of petrol and diesel in the company's 108 vehicle fleet, calculated using DEFRA 2024 factors at Tier 2, adjusted for Kenyan road conditions (+18% per NTSA data). Intensity improved from 0.430 to 0.422 tCO2e/KSh M between FY2023 and FY2024, a 2.0% increase. The 95% confidence interval on the total emission figure is ±5.3%, yielding a range of 24546–27298 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. Transitioning 43% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 1561 tCO2e annually at approximately KSh 9015 per tonne avoided."
NAR-000511,Doyle PLC,TBQ,Logistics,2024,18874.26,28246.37,0.2464,6.68,Fleet combustion across 205 vehicles contributed 18874 tCO2e to Scope 1 in FY2024. All calculations apply DEFRA 2024 Tier 2 factors and the Kenya-specific +18% road condition adjustment from NTSA fleet data.,"The company achieved an emission intensity of 0.246 tCO2e/KSh M, a increase of 11.7% versus FY2023.","Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 26360–30133 tCO2e (±6.7%).","Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 19%, saving 751 tCO2e annually at KSh 12623/t avoided.","Fleet combustion across 205 vehicles contributed 18874 tCO2e to Scope 1 in FY2024. All calculations apply DEFRA 2024 Tier 2 factors and the Kenya-specific +18% road condition adjustment from NTSA fleet data. The company achieved an emission intensity of 0.246 tCO2e/KSh M, a increase of 11.7% versus FY2023. Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 26360–30133 tCO2e (±6.7%). Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 19%, saving 751 tCO2e annually at KSh 12623/t avoided."
NAR-000591,Cole Ltd,SVM,Construction,2024,21830.37,35527.12,0.3218,3.74,"Scope 1 emissions of 21830 tCO2e arise from direct combustion of petrol and diesel in the company's 53 vehicle fleet, calculated using DEFRA 2024 factors at Tier 2, adjusted for Kenyan road conditions (+18% per NTSA data).","Transport emission intensity stood at 0.322 tCO2e per KSh million revenue, placing the company in the second quartile of the NSE peer group.","The reported figure of 35527 tCO2e carries an uncertainty of ±3.7% at 95% confidence, reflecting emission factor, activity data, and road adjustment variance.",Replacing 20% of short-haul business flights with video conferencing would reduce Scope 3 Cat 6 emissions by approximately 995 tCO2e per year.,"Scope 1 emissions of 21830 tCO2e arise from direct combustion of petrol and diesel in the company's 53 vehicle fleet, calculated using DEFRA 2024 factors at Tier 2, adjusted for Kenyan road conditions (+18% per NTSA data). Transport emission intensity stood at 0.322 tCO2e per KSh million revenue, placing the company in the second quartile of the NSE peer group. The reported figure of 35527 tCO2e carries an uncertainty of ±3.7% at 95% confidence, reflecting emission factor, activity data, and road adjustment variance. Replacing 20% of short-haul business flights with video conferencing would reduce Scope 3 Cat 6 emissions by approximately 995 tCO2e per year."
NAR-000821,Stephens Hooper and Francis,IMF,Hospitality,2024,6386.61,10214.43,0.4212,3.15,Fleet combustion across 213 vehicles contributed 6387 tCO2e to Scope 1 in FY2024. All calculations apply DEFRA 2024 Tier 2 factors and the Kenya-specific +18% road condition adjustment from NTSA fleet data.,"The company achieved an emission intensity of 0.421 tCO2e/KSh M, a increase of 2.8% versus FY2023.","The 95% confidence interval on the total emission figure is ±3.1%, yielding a range of 9893–10536 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.",A remote-work policy covering 36% of office-based staff is projected to reduce Scope 3 Cat 7 commute emissions by 515 tCO2e per year.,"Fleet combustion across 213 vehicles contributed 6387 tCO2e to Scope 1 in FY2024. All calculations apply DEFRA 2024 Tier 2 factors and the Kenya-specific +18% road condition adjustment from NTSA fleet data. The company achieved an emission intensity of 0.421 tCO2e/KSh M, a increase of 2.8% versus FY2023. The 95% confidence interval on the total emission figure is ±3.1%, yielding a range of 9893–10536 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. A remote-work policy covering 36% of office-based staff is projected to reduce Scope 3 Cat 7 commute emissions by 515 tCO2e per year."
NAR-000747,Parkin-Giles,GNZ,Telecommunications,2024,23836.55,34913.51,0.3016,4.27,"The company's 193 owned and leased vehicles produced 23837 tCO2e in Scope 1, computed at Tier 2 using vehicle-class-specific DEFRA 2024 emission factors with the Kenya NTSA road adjustment.","Emission intensity was 0.302 tCO2e per KSh million revenue, compared to a sector median of 0.903.","The 95% confidence interval on the total emission figure is ±4.3%, yielding a range of 33423–36404 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.",Transitioning 53% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 2591 tCO2e annually at approximately KSh 14479 per tonne avoided.,"The company's 193 owned and leased vehicles produced 23837 tCO2e in Scope 1, computed at Tier 2 using vehicle-class-specific DEFRA 2024 emission factors with the Kenya NTSA road adjustment. Emission intensity was 0.302 tCO2e per KSh million revenue, compared to a sector median of 0.903. The 95% confidence interval on the total emission figure is ±4.3%, yielding a range of 33423–36404 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. Transitioning 53% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 2591 tCO2e annually at approximately KSh 14479 per tonne avoided."
NAR-000813,Jones Inc,AYM,Agriculture,2024,20172.89,31297.97,0.9805,3.58,"Scope 1 transport emissions for FY2024 stand at 20173 tCO2e, driven primarily by petrol and diesel consumption. The KETRACO grid factor of 0.392 kgCO2e/kWh was applied to all EV charging within the fleet.","The company achieved an emission intensity of 0.981 tCO2e/KSh M, a increase of 5.0% versus FY2023.","Applying Bayesian uncertainty propagation (PyMC, 10,000 samples), the 95% confidence interval spans 30178 to 32418 tCO2e, representing ±3.6% of the central estimate.",A remote-work policy covering 29% of office-based staff is projected to reduce Scope 3 Cat 7 commute emissions by 1271 tCO2e per year.,"Scope 1 transport emissions for FY2024 stand at 20173 tCO2e, driven primarily by petrol and diesel consumption. The KETRACO grid factor of 0.392 kgCO2e/kWh was applied to all EV charging within the fleet. The company achieved an emission intensity of 0.981 tCO2e/KSh M, a increase of 5.0% versus FY2023. Applying Bayesian uncertainty propagation (PyMC, 10,000 samples), the 95% confidence interval spans 30178 to 32418 tCO2e, representing ±3.6% of the central estimate. A remote-work policy covering 29% of office-based staff is projected to reduce Scope 3 Cat 7 commute emissions by 1271 tCO2e per year."
NAR-000174,Hill Mistry and Brooks,UOK,Banking & Finance,2024,23153.86,36233.81,0.3408,6.33,"Scope 1 transport emissions for FY2024 stand at 23154 tCO2e, driven primarily by petrol and diesel consumption. The KETRACO grid factor of 0.392 kgCO2e/kWh was applied to all EV charging within the fleet.","At 0.341 tCO2e per KSh M, the company's intensity is below the sector average of 0.903, reflecting 104 active fleet vehicles.","Applying Bayesian uncertainty propagation (PyMC, 10,000 samples), the 95% confidence interval spans 33940 to 38527 tCO2e, representing ±6.3% of the central estimate.",Replacing 42% of short-haul business flights with video conferencing would reduce Scope 3 Cat 6 emissions by approximately 2131 tCO2e per year.,"Scope 1 transport emissions for FY2024 stand at 23154 tCO2e, driven primarily by petrol and diesel consumption. The KETRACO grid factor of 0.392 kgCO2e/kWh was applied to all EV charging within the fleet. At 0.341 tCO2e per KSh M, the company's intensity is below the sector average of 0.903, reflecting 104 active fleet vehicles. Applying Bayesian uncertainty propagation (PyMC, 10,000 samples), the 95% confidence interval spans 33940 to 38527 tCO2e, representing ±6.3% of the central estimate. Replacing 42% of short-haul business flights with video conferencing would reduce Scope 3 Cat 6 emissions by approximately 2131 tCO2e per year."
NAR-000999,Brookes Nicholls and Read,XYL,Telecommunications,2024,16807.2,21259.66,0.2157,5.27,"Direct fleet emissions totalled 16807 tCO2e in FY2024, representing 79% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout.","At 0.216 tCO2e per KSh M, the company's intensity is below the sector average of 0.903, reflecting 122 active fleet vehicles.","The 95% confidence interval on the total emission figure is ±5.3%, yielding a range of 20139–22380 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.",Replacing 51% of short-haul business flights with video conferencing would reduce Scope 3 Cat 6 emissions by approximately 1518 tCO2e per year.,"Direct fleet emissions totalled 16807 tCO2e in FY2024, representing 79% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout. At 0.216 tCO2e per KSh M, the company's intensity is below the sector average of 0.903, reflecting 122 active fleet vehicles. The 95% confidence interval on the total emission figure is ±5.3%, yielding a range of 20139–22380 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. Replacing 51% of short-haul business flights with video conferencing would reduce Scope 3 Cat 6 emissions by approximately 1518 tCO2e per year."
NAR-000699,Clarke-Schofield,BYU,Manufacturing,2024,12647.49,17300.79,0.3011,4.35,"Scope 1 transport emissions for FY2024 stand at 12647 tCO2e, driven primarily by petrol and diesel consumption. The KETRACO grid factor of 0.392 kgCO2e/kWh was applied to all EV charging within the fleet.","Transport emission intensity stood at 0.301 tCO2e per KSh million revenue, placing the company in the second quartile of the NSE peer group.","The reported figure of 17301 tCO2e carries an uncertainty of ±4.3% at 95% confidence, reflecting emission factor, activity data, and road adjustment variance.",Transitioning 32% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 775 tCO2e annually at approximately KSh 11966 per tonne avoided.,"Scope 1 transport emissions for FY2024 stand at 12647 tCO2e, driven primarily by petrol and diesel consumption. The KETRACO grid factor of 0.392 kgCO2e/kWh was applied to all EV charging within the fleet. Transport emission intensity stood at 0.301 tCO2e per KSh million revenue, placing the company in the second quartile of the NSE peer group. The reported figure of 17301 tCO2e carries an uncertainty of ±4.3% at 95% confidence, reflecting emission factor, activity data, and road adjustment variance. Transitioning 32% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 775 tCO2e annually at approximately KSh 11966 per tonne avoided."
